title	idx
The Terminator	88247
Dune	87182
The NeverEnding Story	88323
The Moment of Truth	87538
Once Upon a Time in America	87843
Ghostbusters	87332
A Nightmare on Elm Street	87800
Gremlins	87363
Amadeus	86879
Revenge of the Nerds	88000
Indiana Jones and the Temple of Doom	87469
Romancing the Stone	88011
Police Academy	87928
Nineteen Eighty-Four	87803
Sixteen Candles	88128
Footloose	87277
Beverly Hills Cop	86960
Red Dawn	87985
Children of the Corn	87050
Repo Man	87995
This Is Spinal Tap	88258
Firestarter	87262
The Last Starfighter	87597
Paris, Texas	87884
Body Double	86984
Splash	88161
Conan the Destroyer	87078
Top Secret!	88286
The Adventures of Buckaroo Banzai Across the 8th Dimension	86856
The Natural	87781
Supergirl	88206
Friday the 13th: The Final Chapter	87298
Runaway	88024
Blood Simple	86979
Kaze no tani no Naushika	87544
The Bounty	86993
Streets of Fire	88194
Night of the Comet	87799
Falling in Love	87233
Against All Odds	86859
Bachelor Party	86927
Star Trek III: The Search for Spock	88170
Hardbodies	87385
Blame It on Rio	86973
2010: The Year We Make Contact	86837
Starman	88172
The Woman in Red	88414
The Philadelphia Experiment	87910
Stranger Than Paradise	88184
The Killing Fields	87553
The Toxic Avenger	90190
C.H.U.D.	87015
Cannonball Run II	87032
Racing with the Moon	87968
The Cotton Club	87089
The Company of Wolves	87075
Dreamscape	87175
City Heat	87062
Silent Night, Deadly Night	88117
Greystoke: The Legend of Tarzan, Lord of the Apes	87365
Breakin'	86998
Cloak & Dagger	87065
Purple Rain	87957
Gwendoline	87903
Electric Dreams	87197
Bolero	86987
A Passage to India	87892
Angel	86896
Firstborn	87263
Sheena	88103
Ghoulies	89200
Iceman	87452
Places in the Heart	87921
Joy of Sex	87513
Savage Streets	88044
Making the Grade	87666
Tightrope	88272
Moscow on the Hudson	87747
Crimes of Passion	87100
Johnny Dangerously	87507
Birdy	86969
Kuai can che	87578
Maria's Lovers	87682
The Ice Pirates	87451
The Muppets Take Manhattan	87755
Missing in Action	87727
The Lost Empire	89503
Grandview, U.S.A.	87359
Rhinestone	88001
The Hotel New Hampshire	87428
La femme publique	87250
Up the Creek	88333
The Wild Life	88402
She	90009
The Mutilator	124014
The Pope of Greenwich Village	87932
The Warrior and the Sorceress	88379
Razorback	87981
The Flamingo Kid	87265
Another Country	86904
All of Me	86873
They're Playing with Fire	88255
Breakin' 2: Electric Boogaloo	86999
Irreconcilable Differences	87482
Trancers	90192
The Initiation	87472
The Razor's Edge	87980
Love Streams	87644
Swing Shift	88213
Boy Meets Girl	86994
Teachers	88242
Country	87091
The River	88007
Tank	88224
Ninja III: The Domination	87805
Reckless	87983
The Hills Have Eyes Part II	89274
A Soldier's Story	88146
The Little Drummer Girl	87629
Night Shadows	87796
Best Defense	86955
Hot Dog... The Movie	87425
The Hit	87414
Where the Boys Are	88395
Oxford Blues	87866
Under the Volcano	88322
Ronja Rövardotter	88015
No Small Affair	87810
Beat Street	86946
The Evil That Men Do	87222
Meatballs Part II	87700
¿Qué he hecho yo para merecer esto?	88461
Broadway Danny Rose	87003
Emmanuelle IV	85486
Flashpoint	87268
The Lonely Guy	87635
Fear City	87247
Kidco	87550
Un amour de Swann	88315
Forbrydelsens element	87280
Murderock - Uccide a passo di danza	87759
A Private Function	89838
Old Enough	87837
Shark: Rosso nell'oceano	88100
Ragewar	89060
The Brother from Another Planet	87004
Choose Me	87054
Roadhouse 66	88008
Sword of the Valiant: The Legend of Sir Gawain and the Green Knight	84750
Dreams Come True	83853
Cal	87019
Lassiter	87589
L'année des méduses	86902
Lust in the Dust	89523
Rats - Notte di terrore	86176
Mrs. Soffel	87751
Cheech & Chong's The Corsican Brothers	87042
Love Scenes	87643
Histoire d'O: Chapitre 2	87412
Protocol	87951
Impulse	87464
Non c'è due senza quattro	87481
Blastfighter	88818
Decoder	87129
Du sel sur la peau	258538
Blind Date	86978
Splatter University	125510
The Power	81366
A Breed Apart	87001
Harry & Son	87386
Sole Survivor	181012
Finders Keepers	87260
The Stone Boy	88176
Voyage of the Rock Aliens	96402
Ordeal by Innocence	87852
Wu Lang ba gua gun	86606
Comfort and Joy	87072
Blood Theatre	91561
Combat Shock	90866
Crackers	87096
Night Patrol	87795
Too Scared to Scream	90186
Exterminator 2	87229
Wo die grünen Ameisen träumen	88412
Thief of Hearts	88256
Seksmisja	88083
Just the Way You Are	87525
Songwriter	88153
Surf II	88207
The Bostonians	86992
Oh, God! You Devil	87835
Liste noire	87627
Silent Madness	88116
Night of the Ghouls	156843
Alley Cat	83541
American Dreamer	86886
Unfaithfully Yours	88326
Nothing Lasts Forever	87817
Leviatán	87616
Fort Saganne	87284
Chikan densha: Shitagi kensatsu	142171
Hard to Hold	87384
Micki + Maude	87718
Monaco Forever	87739
Hot Moves	89304
Mashaal	85912
Naku ha!	494772
Garbo Talks	87313
Scream for Help	88066
Gimme an 'F'	87333
Una	174308
All Out Dysfunktion!	1928334
The Naked Face	87777
