title	idx
Coming to America	94898
Die Hard	95016
Beetlejuice	94721
Big	94737
Willow	96446
Heathers	97493
Rain Man	95953
Twins	96320
Hotaru no haka	95327
Cocoon: The Return	94890
Bloodsport	92675
Mississippi Burning	95647
Rambo III	95956
Mystic Pizza	95690
They Live	96256
Who Framed Roger Rabbit	96438
Nuovo Cinema Paradiso	95765
Tonari no Totoro	96283
Biloxi Blues	94746
Akira	94625
A Fish Called Wanda	95159
Dangerous Liaisons	94947
The Naked Gun: From the Files of Police Squad!	95705
Working Girl	96463
Child's Play	94862
The Land Before Time	95489
Cocktail	94889
Bull Durham	94812
Hairspray	95270
The Unbearable Lightness of Being	96332
Dirty Rotten Scoundrels	95031
Colors	94894
Young Guns	96487
Vampire's Kiss	98577
The Adventures of Baron Munchausen	96764
Red Heat	95963
The Nest	95719
The Accused	94608
Mac and Me	95560
Midnight Run	95631
The Blob	94761
Earth Girls Are Easy	97257
Police Academy 5: Assignment: Miami Beach	95882
Moving	95662
The Last Temptation of Christ	95497
Two Moon Junction	96324
Stand and Deliver	94027
Killer Klowns from Outer Space	95444
Spoorloos	96163
Oliver & Company	95776
Scrooged	96061
Le grand bleu	95250
Halloween 4: The Return of Michael Myers	95271
Beaches	94715
The Dead Pool	94963
Dead Ringers	94964
She's Having a Baby	96094
The Great Outdoors	95253
Action Jackson	94612
Above the Law	94602
Frantic	95174
Return of the Living Dead: Part II	95990
Sleepaway Camp II: Unhappy Campers	96118
Moonwalker	95655
Elvira: Mistress of the Dark	95088
Alien from L.A.	92532
Night of the Demons	93624
Mujeres al borde de un ataque de "nervios"	95675
Monkey Shines	95652
A Nightmare on Elm Street 4: The Dream Master	95742
'Crocodile' Dundee II	92493
License to Drive	95519
School Daze	96054
Hellbound: Hellraiser II	95294
Big Business	94739
Married to the Mob	95593
Funny Farm	95188
Friday the 13th Part VII: The New Blood	95179
Tequila Sunrise	96244
I'm Gonna Git You Sucka	95348
High Spirits	95304
Critters 2	94919
Doom Asylum	92910
Masquerade	95599
A Night in the Life of Jimmy Reardon	95736
Running on Empty	96018
The Accidental Tourist	94606
Bird	94747
Johnny Be Good	95409
Pumpkinhead	95925
Hei tai yang 731	93170
Maniac Cop	95583
For Keeps?	95169
Short Circuit 2	96101
The Seventh Sign	96073
Brain Damage	94793
Fright Night Part 2	97390
Gorillas in the Mist: The Story of Dian Fossey	95243
The New Adventures of Pippi Longstocking	93744
My Stepmother Is an Alien	95687
Red Scorpion	98180
Bright Lights, Big City	94799
Lady in White	95484
The Night Before	95730
Hell Comes to Frogtown	93171
Evil Angels	94924
The Lair of the White Worm	95488
Alien Nation	94631
The Serpent and the Rainbow	96071
Dom za vesanje	97223
Fresh Horses	95178
Eight Men Out	95082
Tucker: The Man and His Dream	96316
Na srebrnym globie	93593
Dead Heat	94961
Vice Versa	96380
L'ours	95800
Poltergeist III	95889
Cop	92783
Waxwork	96426
Krótki film o milosci	95467
Shoot to Kill	96098
Caddyshack II	94824
Gandahar	95525
Punchline	95927
The Brain	94794
Iron Eagle II	95382
Sorority Babes in the Slimeball Bowl-O-Rama	96142
Miracle Mile	97889
Satisfaction	96037
Shakedown	96087
Journey to the Center of the Earth	97630
Nightmare Sisters	93628
Appointment with Death	94669
Hollywood Chainsaw Hookers	95312
Talk Radio	96219
Incident at Raven's Gate	95098
Without a Clue	96454
Camille Claudel	94828
Braddock: Missing in Action III	94792
Jack's Back	95389
The Dark Side of the Sun	118930
Torch Song Trilogy	96289
The Presidio	95897
Some Girls	98356
Black Eagle	94750
Criminal Law	97125
Not of This Earth	95756
Topio stin omihli	96288
Phantasm II	95863
D.O.A.	94933
The Beast of War	94716
Ging chaat goo si juk jaap	95403
Casual Sex?	94846
Space Mutiny	96149
Hero and the Terror	95296
Big Top Pee-wee	94744
Watchers	96425
Young Einstein	96486
Black Roses	94752
Clean and Sober	94884
1969	94594
Drowning by Numbers	92929
Krótki film o zabijaniu	95468
Betrayed	94731
Buster	94819
Permanent Record	95853
Cheerleader Camp	92744
The Sisterhood	96114
Kansas	95428
High Hopes	95302
Paperhouse	98061
Return of the Killer Tomatoes!	95989
Stealing Home	96171
Phoenix the Warrior	93731
Bat*21	94712
Purple People Eater	95930
The Unnamable	96344
The Milagro Beanfield War	95638
18 Again!	94593
Patty Hearst	95836
Zombi 3	96511
Chocolat	94868
Sunset	96193
Another Woman	94663
Scarecrows	96046
Rocket Gibraltar	96003
Pin	95871
Deadbeat at Dawn	99377
The Frog Prince	95182
Track 29	96294
Grotesque	95256
Yeolheol nama	96461
The Couch Trip	94910
And God Created Woman	92559
Spellbinder	96152
Slugs, muerte viscosa	93995
Vibes	96378
976-EVIL	94597
Amsterdamned	94651
Stealing Heaven	96170
Pulse	95924
The Navigator: A Medieval Odyssey	95709
Snack Bar Budapest	96125
The Prince of Pennsylvania	95903
Ghoulies II	93091
The Man from Snowy River II	95993
Little Nikita	95532
Fei lung mang jeung	93015
Dominick and Eugene	95050
Hobgoblins	89280
Into the Fire	93270
The Kiss	95454
It Takes Two	95384
