title	idx
A Clockwork Orange	66921
Willy Wonka & the Chocolate Factory	67992
The Last Picture Show	67328
Fiddler on the Roof	67093
Solaris	69293
Giù la testa	67140
Dirty Harry	66999
Big Jake	66831
The French Connection	67116
Shoot Out	67750
Bedknobs and Broomsticks	66817
Diamonds Are Forever	66995
Mary, Queen of Scots	67402
Get Carter	67128
Play Misty for Me	67588
The Beguiled	66819
Klute	67309
Harold and Maude	67185
Walkabout	67959
Billy Jack	66832
Straw Dogs	67800
Anand	66763
Vanishing Point	67927
The Devils	66993
THX 1138	66434
Shaft	67741
The Omega Man	67525
Il Decameron	65622
Carnal Knowledge	66892
The Andromeda Strain	66769
Johnny Got His Gun	67277
The Tragedy of Macbeth	67372
Morte a Venezia	67445
Tang shan da xiong	67824
McCabe & Mrs. Miller	67411
Support Your Local Gunfighter	67809
Summer of '42	67803
A New Leaf	67482
The Panic in Needle Park	67549
Hannie Caulder	68675
Nicholas and Alexandra	67483
Escape from the Planet of the Apes	67065
The Blood on Satan's Claw	66849
Schulmädchen-Report 2. Teil - Was Eltern den Schlaf raubt	67717
Two-Lane Blacktop	67893
Wake in Fright	67541
Soleil rouge	67770
Valdez Is Coming	67921
Utvandrarna	67919
Ecologia del delitto	67656
'Doc'	67003
Man in the Wilderness	67388
Sometimes a Great Notion	67774
Bananas	66808
Sunday Bloody Sunday	67805
W.R. - Misterije organizma	67958
The Abominable Dr. Phibes	66740
Pretty Maids All in a Row	67610
Willard	67991
Continuavano a chiamarlo Trinità	68154
The Night Visitor	66141
Twins of Evil	69427
The Last Movie	67327
Le Mans	67334
Les lèvres rouges	67690
The Big Doll House	66830
Vampyros Lesbos	66380
Mais ne nous délivrez pas du mal	66040
Le souffle au coeur	67778
Blood from the Mummy's Tomb	68290
Lawman	67333
Il gatto a nove code	65761
10 Rillington Place	66730
The Nightcomers	69007
L'iguana dalla lingua di fuoco	67236
The Mephisto Waltz	67419
Melody	67418
The Anderson Tapes	66767
Sie tötete in Ekstase	66104
The House That Dripped Blood	65854
The Go-Between	67144
Women in Revolt	129631
The Hospital	67217
One More Train to Rob	67531
Addio zio Tom	180396
Women in Cages	67995
Taking Off	67820
And Now for Something Completely Different	66765
Let's Scare Jessica to Death	67341
Una lucertola con la pelle di donna	67361
4 mosche di velluto grigio	66735
Sweet Sweetback's Baadasssss Song	67810
The Gang That Couldn't Shoot Straight	67124
Lo strano vizio della signora Wardh	66412
The Hired Hand	67204
La tarantola dal ventre nero	69343
Creatures the World Forgot	66955
Les pétroleuses	67637
Exponerad	67076
Friends	67118
