title	idx
Shadow of a Doubt	36342
The Outlaw	36241
Frankenstein Meets the Wolf Man	35899
My Friend Flicka	36182
For Whom the Bell Tolls	35896
The Ox-Bow Incident	36244
Sahara	36323
Jane Eyre	36969
The Song of Bernadette	36377
Batman	35665
Heaven Can Wait	35979
The Life and Death of Colonel Blimp	36112
Thousands Cheer	36432
Lost Angel	36120
The More the Merrier	36172
Phantom of the Opera	36261
Titanic	36443
I Walked with a Zombie	36027
Air Raid Wardens	35617
Stormy Weather	36391
Hangmen Also Die!	35966
Vredens dag	36506
Watch on the Rhine	36515
Destination Tokyo	35799
Lassie Come Home	36098
Five Graves to Cairo	35884
Son of Dracula	36376
Cabin in the Sky	35703
The Seventh Victim	36341
Margin for Error	36142
A Guy Named Joe	35959
Edge of Darkness	34694
Action in the North Atlantic	35608
Sherlock Holmes Faces Death	36348
Above Suspicion	35605
Bataan	35664
Journey Into Fear	34922
Lady of Burlesque	36094
The Ghost Ship	35937
The Spider Woman	37303
'Gung Ho!': The Story of Carlson's Makin Island Raiders	35958
The North Star	36217
Sugata Sanshirô	36400
Sherlock Holmes in Washington	36349
Old Acquaintance	36230
Air Force	35616
Le corbeau	35753
Madame Curie	36126
Ossessione	35160
Jitterbugs	36055
In Old Oklahoma	36038
Best Foot Forward	35675
Crash Dive	35763
The Return of the Vampire	37219
Slightly Dangerous	36365
Stage Door Canteen	36384
The Leopard Man	36104
The Miracle of Morgan's Creek	37077
Hitler's Children	34856
Hitler's Madman	36005
The Dancing Masters	35777
This Is the Army	36430
One Dangerous Night	36237
The Phantom	36262
The Gang's All Here	35916
The Desperadoes	35798
The Human Comedy	36022
So Proudly We Hail!	36367
This Land Is Mine	36431
Mr. Lucky	36174
Background to Danger	35659
Girl Crazy	35942
We Dive at Dawn	36516
The Constant Nymph	35751
Johnny Come Lately	36057
Guadalcanal Diary	35957
Thank Your Lucky Stars	36422
Münchhausen	36191
The Gentle Sex	35931
Minesweeper	36161
Corvette K-225	35757
The Adventures of Tartu	35612
Destroyer	35800
A Lady Takes a Chance	36092
Crime Doctor	35766
Forever and a Day	35897
Du Barry Was a Lady	35829
Presenting Lily Mars	36275
Les anges du péché	35636
The Man in Grey	36135
The Fallen Sparrow	35860
The Ape Man	35640
Mission to Moscow	36166
Higher and Higher	36919
Behind the Rising Sun	35669
Immortal Sergeant	36037
I Escaped from the Gestapo	36026
The Silver Fleet	36356
December 7th	35790
Tarzan Triumphs	36414
Yellow Canary	36549
Hi Diddle Diddle	35996
They Got Me Covered	36427
Captive Wild Woman	35713
Revenge of the Zombies	36307
Hit the Ice	36004
L'éternel retour	36566
I Dood It	36025
Ghosts on the Loose	35939
Holy Matrimony	36009
Tender Comrade	36418
Sweet Rosie O'Grady	36406
Passport to Suez	36253
It Ain't Hay	36047
