title	idx
Django Unchained	1853728
The Avengers	848228
Dakeu naiteu raijeu	1345836
The Hunger Games	1392170
The Master	1560747
Pitch Perfect	1981677
John Carter	401729
Cloud Atlas	1371111
The Hobbit: An Unexpected Journey	903624
Snow White and the Huntsman	1735898
Zero Dark Thirty	1790885
Lo imposible	1649419
Les Misérables	1707386
Peurometeuseu	1446714
The Amazing Spider-Man	948470
Spring Breakers	2101441
The Perks of Being a Wallflower	1659337
21 Jump Street	1232829
Argo	1024648
Men in Black 3	1409024
Silver Linings Playbook	1045658
Skyfall	1074638
Looper	1276104
Anna Karenina	1781769
Lincoln	443272
Moonrise Kingdom	1748122
Jagten	2106476
The Twilight Saga: Breaking Dawn - Part 2	1673434
Wrath of the Titans	1646987
Flight	1907668
The Place Beyond the Pines	1817273
Jack Reacher	790724
Lawless	1212450
Dark Shadows	1077368
Battleship	1440129
Dredd	1343727
Sinister	1922777
Magic Mike	1915581
The Dictator	1645170
That's My Boy	1232200
Life of Pi	454876
Total Recall	1386703
Project X	1636826
The Bourne Legacy	1194173
Wreck-It Ralph	1772341
Brave	1217209
Seven Psychopaths	1931533
End of Watch	1855199
American Reunion	1605630
Savages	1615065
Ted	1637725
Bait	1438173
The Expendables 2	1764651
Journey 2: The Mysterious Island	1397514
This Is 40	1758830
This Means War	1596350
Mud	1935179
Safe House	1599348
Would You Rather	1999995
Frances Ha	2347569
Rock of Ages	1336608
El cuerpo	1937149
Aiseu Eiji 4: Daeryuk Idongseol	1667889
The Lucky One	1327194
The Iceman	1491044
Trouble with the Curve	2083383
Hotel Transylvania	837562
Chroniques sexuelles d'une famille d'aujourd'hui	1753584
The Vow	1606389
Killing Them Softly	1764234
The Lorax	1482459
A Perfect Ending	1823059
The Three Stooges	383010
Chronicle	1706593
Resident Evil: Retribution	1855325
No One Lives	1763264
Gangs of Wasseypur	1954470
The Woman in Black	1596365
The Lords of Salem	1731697
Iron Sky	1034314
Bachelorette	1920849
Piranha 3DD	1714203
Red Dawn	1234719
Rise of the Guardians	1446192
Abraham Lincoln: Vampire Hunter	1611224
De rouille et d'os	2053425
Taken 2	1397280
Upside Down	1374992
Arbitrage	1764183
Safety Not Guaranteed	1862079
Man on a Ledge	1568338
V/H/S	2105044
On the Road	337692
The First Time	1763303
Seeking a Friend for the End of the World	1307068
The Watch	1298649
Here Comes the Boom	1648179
The Man with the Iron Fists	1258972
The Paperboy	1496422
Mirror Mirror	1667353
Lay the Favorite	1132449
What to Expect When You're Expecting	1586265
One for the Money	1598828
LOL	1592873
Wanderlust	1655460
The Words	1840417
The Five-Year Engagement	1195478
Maniac	2103217
Chernobyl Diaries	1991245
Silent Hill: Revelation	938330
Stuck in Love.	2205697
House at the End of the Street	1582507
Excision	1984153
Madagaseuka3: Ibeonen Seokeoseuda!	1277953
Byzantium	1531901
Underworld Awakening	1496025
Playing for Keeps	1540128
To Rome with Love	1859650
Alex Cross	1712170
Passion	1829012
Paranormal Activity 4	2109184
Think Like a Man	1621045
Cosmopolis	1480656
Bullet to the Head	1308729
The Campaign	1790886
Safe	1656190
Hit and Run	2097307
To the Wonder	1595656
Dark Blood	293069
Lockout	1592525
Hitchcock	975645
Amour	1602620
En kongelig affære	1276419
Act of Valor	1591479
My Awkward Sexual Adventure	2112210
Kon-Tiki	1613750
Ruby Sparks	1839492
Step Up Revolution	1800741
Celebrity Sex Tape	2136808
About Cherry	1945062
Contraband	1524137
Joker	1918886
Frankenweenie	1142977
Erased	1645155
Get the Gringo	1567609
Klip	1900908
Black Rock	1930294
Gone	1838544
The Collection	1748227
The Sessions	1866249
The Broken Circle Breakdown	2024519
Chasing Mavericks	1629757
ParaNorman	1623288
Compliance	1971352
American Mary	1959332
Eden	1734433
The Raven	1486192
Beasts of the Southern Wild	2125435
Diary of a Wimpy Kid: Dog Days	2023453
Holy Motors	2076220
The Company You Keep	1381404
The Possession	431021
Now Is Good	1937264
The Odd Life of Timothy Green	1462769
Stand Up Guys	1389096
People Like Us	1716777
Thanks for Sharing	1932718
Sightseers	2023690
Fire with Fire	1925431
Student of the Year	2172071
Bez wstydu	1927068
The Tall Man	1658837
Promised Land	2091473
The Cold Light of Day	1366365
Disconnect	1433811
Red Lights	1748179
The Sweeney	857190
