title	idx
The Outsiders	86066
Star Wars: Episode VI - Return of the Jedi	86190
Trading Places	86465
Scarface	86250
Twilight Zone: The Movie	86491
National Lampoon's Vacation	85995
WarGames	86567
Christine	85333
Flashdance	85549
Private School	86143
Never Say Never Again	86006
La chiave	85328
Risky Business	86200
Cujo	85382
Sleepaway Camp	86320
Jaws 3-D	85750
Terms of Endearment	86425
Videodrome	86541
Krull	85811
The Right Stuff	86197
Valley Girl	86525
The Dead Zone	85407
The Big Chill	85244
Superman III	86393
Psycho II	86154
Class	85346
Octopussy	86034
A Christmas Story	85334
Bad Boys	85210
Rumble Fish	86216
Local Hero	85859
Mr. Mom	85970
10 to Midnight	85121
Staying Alive	86361
Silkwood	86312
The House on Sorority Row	85694
Sudden Impact	86383
The Meaning of Life	85959
Deathstalker	87127
My Tutor	85980
The Hunger	85701
Blue Thunder	85255
Nostalgia	86022
Something Wicked This Way Comes	86336
Fire and Ice	85542
Suburbia	86589
All the Right Moves	85154
Breathless	85276
Hostage	85689
Star 80	86355
Brainstorm	85271
Eddie and the Cruisers	85475
Angst	165623
The Survivors	86397
Hercules	85672
Yentl	86619
Sahara	86232
The Keep	85780
Screwballs	86264
Lone Wolf McQuade	85862
BMX Bandits	85204
Spring Break	86352
Two of a Kind	86494
Mausoleum	85918
The Adventures of Bob & Doug McKenzie: Strange Brew	86373
Uncommon Valor	86508
Yellowbeard	86618
Spacehunter: Adventures in the Forbidden Zone	86346
Gorky Park	85615
The Man with Two Brains	85894
Merry Christmas Mr. Lawrence	85933
Losin' It	85868
Stroker Ace	86379
The Final Terror	82379
The Pirates of Penzance	86112
Joysticks	85764
Educating Rita	85478
Still Smokin	86366
Mortuary	87746
Strange Invaders	86374
Zelig	86637
Porky's II: The Next Day	86129
Cross Creek	85380
Easy Money	85470
Tender Mercies	86423
Smokey and the Bandit Part 3	86325
Danton	83789
'A' gai wak	85127
Revenge of the Ninja	86192
Microwave Massacre	85937
Chained Heat	85318
A Night in Heaven	86011
Curtains	85385
The Osterman Weekend	86058
À nos amours	86650
Doctor Detroit	85450
The Jigsaw Man	85755
Testament	86429
Never Cry Wolf	86005
Of Unknown Origin	86036
Eureka	83906
High Road to China	85678
D.C. Cab	85387
Under Fire	86510
The Prey	86137
L'été meurtrier	86655
Zhong gui	86640
Space Raiders	86345
The Star Chamber	86356
Curse of the Pink Panther	85384
De vierde man	86543
Pauline à la plage	86087
El Norte	85482
Dirndljagd am Kilimandscharo	85441
Jaane Bhi Do Yaaro	85743
Betrayal	85234
Entre tinieblas	85496
Amityville 3-D	85159
Sweet Sixteen	83146
Independence Day	85724
Deal of the Century	85412
To Be or Not to Be	86450
Narayama bushikô	84390
Metalstorm: The Destruction of Jared-Syn	85935
The Lonely Lady	85863
The Honorary Consul	85236
Prénom Carmen	86153
Nightmares	86014
Rock & Rule	86203
Le dernier combat	85426
Baby It's You	85208
L'argent	85180
2019 - Dopo la caduta di New York	85125
I nuovi barbari	84424
Daniel	85398
The Lords of Discipline	85867
Nati con la camicia	85601
Love Letters	85871
Premiers désirs	86136
The Black Stallion Returns	85248
Max Dugan Returns	85919
De lift	87622
Masoom	85913
The Man Who Loved Women	85891
El tesoro de la diosa blanca	86428
Conquest	85356
House of the Long Shadows	85693
Fanny Hill	87237
Hundra	87436
Stryker	86381
The Deadly Spawn	87998
Endgame - Bronx lotta finale	89091
Careful, He Might Hear You	85295
The Dresser	85461
Get Crazy	85551
The First Turn-On!!	85547
Heat and Dust	84058
La casa con la scala nel buio	85303
Heart Like a Wheel	85656
El sur	84740
Fuga dal Bronx	89104
G	85574
Going Berserk	85603
Grizzly II: The Concert	93119
The Wicked Lady	86582
Un été à Saint-Tropez	88202
Los nuevos extraterrestres	86026
Spasms	86349
Without a Trace	86593
Adamo ed Eva, la prima storia d'amore	83520
Frightmare	83973
Nate and Hayes	85994
Zeder	86636
Wild Style	84904
Prisoners of the Lost Universe	86141
The Being	85224
Hadashi no Gen	85218
Mo	85951
Blade Violent - I violenti	85250
Warrior of the Lost World	88380
Qi mou miao ji: Wu fu xing	86605
La belle captive	85226
Better Late Than Never	83647
The Sting II	86370
I predatori di Atlantide	86135
Twice Upon a Time	86489
Il mondo di Yor	84935
Exposed	85513
Mountaintop Motel Massacre	91560
Éducation anglaise	84961
I sette magnifici gladiatori	86289
Il giustiziere della strada	85514
All in Good Taste	128037
I paladini - Storia d'armi e d'amori	86074
E la nave va	87188
Hanna K.	85642
Phar Lap	86102
Tough Enough	86461
Lovesick	85873
Arpan	247936
Eddie Macon's Run	85473
Golgo 13	86148
Caligula, la véritable histoire	8494088
Running Brave	86220
La guerra del ferro: Ironmaster	84036
Mahaan	85886
Variety	90251
Eyes of Fire	85515
Sasameyuki	86242
Ardh Satya	85178
Dans la ville blanche	85400
Sadma	86230
Balboa	90690
Another Time, Another Place	36606
Scalps	86248
Woh 7 Din	86597
Kandagawa inran sensô	163030
Please Don't Eat the Babies	86119
Julie Darling	84182
Somewhere, Tomorrow	86337
Reuben, Reuben	84591
Il trono di fuoco	90166
Vivement dimanche!	86551
Die flambierte Frau	83949
Sacred Ground	86227
Shao Lin yu Wu Dang	83062
Smorgasbord	85375
Coup de foudre	85370
Table for Five	86405
The ComDads	85354
Roman Za'ir	86926
La lune dans le caniveau	85878
Olivia	82841
Ars amandi	85182
Streamers	86377
Triumphs of a Man Called Horse	84826
El tesoro de las cuatro coronas	84781
Play Dead	82914
Rikos ja rangaistus	86199
Wavelength	86571
Young Warriors	86625
The Devonsville Terror	85434
Un jeu brutal	86505
The Man Who Wasn't There	85892
Le marginal	85900
My Brother's Wedding	87763
Proshchanie	86149
The Return of Captain Invincible	86189
Lianna	85838
Mi ni te gong dui	79509
Coolie	85361
Nam yi nui	125784
L'homme blessé	84085
Screamtime	86263
Black Venus	85249
Born in Flames	85267
Zappa	88445
Taking Tiger Mountain	86409
Nankyoku monogatari	85991
Man, Woman and Child	85895
Espérame mucho	189506
American Nightmare	85156
Party Party	86081
Stacy's Knights	84723
Lost	85869
Utu	86497
Storia di Piera	86372
Satomi hakken-den	86244
Painter Babu	371058
Angel of H.E.A.T.	85167
Le battant	83625
Femmes	84365
The Alchemist	88691
Cane e gatto	83715
Tokatçi	253822
Thunder	86434
Bullshot	85279
Fieras en brama	257671
Copkiller (l'assassino dei poliziotti)	85366
Avtaar	233264
Hai tan de yi tian	85635
Macumba sexual	85883
Papy fait de la résistance	86079
La casa de las mujeres perdidas	85305
Hysterical	85704
Le bal	85213
Vokzal dlya dvoikh	84873
Long teng hu yue	85864
Frühlingssinfonie	85568
Romantic Comedy	86205
Portfolio	86130
Mortelle randonnée	84358
Bush Christmas	85282
Shu Shan - Xin Shu shan jian ke	86308
Fa sing	85697
Nana	84387
Duvar	90982
Tsisperi mtebi anu daujerebeli ambavi	87349
