title	idx
The Goonies	89218
Back to the Future	88763
Clue	88930
The Breakfast Club	88847
Legend	89469
Rambo: First Blood Part II	89880
Pale Rider	89767
Idi i smotri	91251
Rocky IV	89927
Commando	88944
Weird Science	90305
Real Genius	89886
Brazil	88846
Teen Wolf	90142
Witness	90329
Silverado	90022
Mask	89560
Explorers	89114
Out of Africa	89755
Return to Oz	89908
Red Sonja	89893
Better Off Dead...	88794
Re-Animator	89885
The Jewel of the Nile	89370
Young Sherlock Holmes	90357
St. Elmo's Fire	90060
The Color Purple	88939
National Lampoon's European Vacation	89670
The Return of the Living Dead	89907
A Room with a View	91867
A Nightmare on Elm Street Part 2: Freddy's Revenge	89686
Summer Rental	90098
Fright Night	89175
A View to a Kill	90264
Mad Max Beyond Thunderdome	89530
Cocoon	88933
Ran	89881
To Live and Die in L.A.	90180
After Hours	88680
Cat's Eye	88889
Ladyhawke	89457
Just One of the Guys	89393
Day of the Dead	88993
The Black Cauldron	88814
House	91223
Enemy Mine	89092
Secret Admirer	89981
Pee-wee's Big Adventure	89791
Perfect	89798
Lifeforce	89489
Friday the 13th: A New Beginning	89173
Desperately Seeking Susan	89017
Silver Bullet	90021
The Legend of Billie Jean	89470
Transylvania 6-5000	90196
A Chorus Line	88915
Mischief	89601
Flesh+Blood	89153
Fletch	89155
The Stuff	90094
The Last Dragon	89461
Brewster's Millions	88850
Ging chaat goo si	89374
Once Bitten	89730
Police Academy 2: Their First Assignment	89822
Vision Quest	90270
Private Resort	89839
Tuff Turf	90213
Phenomena	87909
Girls Just Want to Have Fun	89208
Malibu Express	89539
The Mean Season	89572
Dèmoni	89013
Tomboy	90184
Kiss of the Spider Woman	89424
The Sure Thing	90103
Blood Debts	756288
Spies Like Us	90056
Runaway Train	89941
Evils of the Night	89109
Into the Night	89346
School Spirit	89974
D.A.R.Y.L.	88979
The New Kids	89679
Remo Williams: The Adventure Begins	89901
My Beautiful Laundrette	91578
Steaming	90070
The Falcon and the Snowman	87231
Prizzi's Honor	89841
Volunteers	90274
Year of the Dragon	90350
The Emerald Forest	89087
American Ninja	88708
Miranda	89598
The Heavenly Kid	89265
Fandango	89126
Murphy's Romance	89643
Follow That Bird	89994
White Nights	90319
Death Wish 3	89003
Gotcha!	89222
The Quiet Earth	89869
Tampopo	92048
The Purple Rose of Cairo	89853
Avenging Angel	88757
Creature	88961
Porky's Revenge	89826
Barbarian Queen	88771
Subway	90095
Revolution	89913
King Solomon's Mines	89421
The Journey of Natty Gann	89385
Heaven Help Us	89264
My Science Project	89652
Jagged Edge	89360
Mitt liv som hund	89606
Loose Screws	89501
Howling II: Stirba - Werewolf Bitch	89308
Agnes of God	88683
The Peanut Butter Solution	89789
On ne meurt que deux fois	89726
Sweet Dreams	90110
Seven Minutes in Heaven	89997
American Flyers	88707
Naked Vengeance	91604
Crimewave	88967
Godzilla 1985	87344
Masul an wi chonsa	208502
Lost in America	89504
King David	89420
The Man with One Red Shoe	89543
Code of Silence	88936
Mishima: A Life in Four Chapters	89603
Sans toit ni loi	89960
Fortress	91069
Santa Claus: The Movie	89961
Desert Hearts	89015
Invasion U.S.A.	89348
Fraternity Vacation	89167
Head Office	91183
Smooth Talk	90037
That Was Then... This Is Now	90151
Gymkata	89243
Frog Dreaming	91810
The Dirt Bike Kid	90948
Missing in Action 2: The Beginning	89604
The Slugger's Wife	90036
The Bride	88851
Moving Violations	89629
Kyûketsuki hantâ D	90248
Wheels of Fire	88393
Inferno in diretta	89338
The Trip to Bountiful	90203
La historia oficial	89276
The Boys Next Door	90770
Underworld	90233
Out of Control	89756
Stick	90073
Hellhole	89269
Nudo e selvaggio	89562
The Protector	89847
Bez konca	86961
Je vous salue, Marie	89366
The Care Bears Movie	88885
Savage Island	89964
Warning Sign	90293
Le avventure dell'incredibile Ercole	89271
Plenty	89816
Wizards of the Lost Kingdom	90333
Breaking All the Rules	88848
The Holcroft Covenant	89283
Miami Supercops	89591
Baby: Secret of the Lost Legend	88760
Eleni	89079
Krush Groove	89444
Insignificance	89343
Turk 182	90217
Piccoli fuochi	89808
Night Train to Terror	87798
Rustlers' Rhapsody	89945
Streetwalkin'	88195
Target	90130
The Coca-Cola Kid	88931
Blackout	88816
Water	90297
Otac na sluzbenom putu	89748
Rendez-vous	89902
Hot Chili	89302
Alien Outlaw	190229
Compromising Positions	88947
Long de xin	91427
Xia ri fu xing	90342
Red Heat	89892
Fuk sing go jiu	89177
Young Lady Chatterley II	90356
Schiave bianche - Violenza in Amazzonia	91902
Dreamchild	89052
Def-Con 4	87130
Creator	88960
Kid Colter	217603
The Big Bet	88800
Fool for Love	89160
Radioactive Dreams	91818
The Adventures of Mark Twain	88678
One Magic Christmas	89731
L'alcova	86868
Biohazard	86967
Restless Natives	89904
Zone Troopers	92298
The Aviator	88758
Maxie	89569
Wild Geese II	90323
Joey	89378
Dance with a Stranger	88987
Orions belte	89740
Fast Forward	89129
Starchaser: The Legend of Orin	90065
A Zed & Two Noughts	90366
Trouble in Mind	90209
Ginga-tetsudô no yoru	89206
Le déclic	97252
Pray for Death	89835
Taipei Story	89866
Thunder Alley	90168
Bad Medicine	88765
Esperando la carroza	89108
The Good Father	93103
Code Name: Emerald	88934
Treasure of the Amazon	90200
Scorpio Nights	117568
Ninja Terminator	199849
Hold-Up	89284
Twice in a Lifetime	90223
Ma no toki	228544
Alamo Bay	88689
Pyar Jhukta Nahin	87958
O.C. and Stiggs	89715
Adventures of Tarzan	364049
El caballero del dragón	88870
Future-Kill	89181
Péril en la demeure	89860
The Dark Power	228183
Hentai mesuinu chôkyô	201991
Hot Resort	89305
The Secret of the Sword	89984
Echo Park	90994
Tiffany, i agriogata tou erota	174728
Ambavi Suramis tsikhitsa	87606
The Shooting Party	88111
Morons from Outer Space	89622
Huang jia shi jie	93229
3 hommes et un couffin	90206
Astérix et la surprise de César	88748
Mesmerized	91513
Yilanlarin Öcü	930098
Karishma Kudrat Kaa	496523
Höhenfeuer	93235
L'amour braque	88714
Get Out of My Room	89199
Snowroller - Sällskapsresan II	90115
Ghulami	89201
Marie	89555
Nine Deaths of the Ninja	89689
Sylvester	90112
Dan Oniroku: Bikyoshi jigokuzeme	223848
Vesnicko má stredisková	90257
Tóngnián wangshì	90185
Oriana	89739
The Doctor and the Devils	89034
Letter to Brezhnev	89477
Oberst Redl	89716
Sogni erotici di Cleopatra	86330
Final Justice	87258
L'amour en douce	88715
Martin's Day	87685
Ghar Dwaar	231645
Le feu sous la peau	165774
Certain Fury	88895
Mohabbat	89610
Fever Pitch	89139
Basic Training	88775
Ucha Dar Babe Nanak Da	316827
Wetherby	90310
