title	idx
Rear Window	47396
Them!	47573
Shichinin no samurai	47478
On the Waterfront	47296
A Star Is Born	47522
Dial M for Murder	46912
Gojira	47034
Sabrina	47437
Broken Lance	46808
Creature from the Black Lagoon	46876
20,000 Leagues Under the Sea	46672
Seven Brides for Seven Brothers	47472
Rhapsody	47408
Dawn at Socorro	46894
Animal Farm	47834
The Caine Mutiny	46816
The Egyptian	46949
White Christmas	47673
Black Widow	46791
La Strada	47528
It Should Happen to You	47123
Ride Clear of Diablo	47411
Demetrius and the Gladiators	46899
Hobson's Choice	47094
Johnny Guitar	47136
River of No Return	47422
Brigadoon	46807
Drums Across the River	46937
The Bridges at Toko-Ri	46806
The Barefoot Contessa	46754
Vera Cruz	47647
Executive Suite	46963
The Long, Long Trailer	47191
Riding Shotgun	47413
Sanshô dayû	47445
Désirée	46903
The Far Country	48055
The Country Girl	46874
There's No Business Like Show Business	47574
The Last Time I Saw Paris	47162
The Glenn Miller Story	47030
An Inspector Calls	47119
Magnificent Obsession	47203
Father Brown	46970
The High and the Mighty	47086
Garden of Evil	47013
Senso	47469
Carmen Jones	46828
The Love Lottery	46013
The Belles of St. Trinian's	46766
Touchez pas au grisbi	46451
Destry	46906
The Naked Jungle	47264
Viaggio in Italia	46511
Young at Heart	47688
Ulisse	47630
Hell and High Water	47073
Sitting Bull	47501
Four Guns to the Border	46994
Chikamatsu monogatari	46851
Elephant Walk	46951
The Black Shield of Falworth	46789
Suddenly	47542
Pushover	47377
The Million Pound Note	46072
Three Coins in the Fountain	47580
The Silver Chalice	47494
Human Desire	47101
The Fast and the Furious	46969
Apache	46719
The Raid	47388
The Purple Plain	47376
Salt of the Earth	47443
Robinson Crusoe	44386
Devil Girl from Mars	46907
Miyamoto Musashi	47444
Shield for Murder	47479
Prince Valiant	47365
Tobor the Great	47590
Naked Alibi	47263
Gog	47033
Secret of the Incas	47464
Jail Bait	47127
Night People	47279
Doctor in the House	46921
Killers from Space	47149
Target Earth	47559
Witness to Murder	47679
Track of the Cat	47603
The Bowery Boys Meet the Monsters	46802
Attila	46731
Private Hell 36	47370
Ali Baba et les 40 voleurs	46695
Long John Silver	47189
Taxi Driver	47561
Yankee Pasha	47684
The Student Prince	47537
Romeo and Juliet	47029
Woman's World	47680
Susan Slept Here	47550
La donna del fiume	48005
Nijûshi no hitomi	47281
Dragnet	46931
Riot in Cell Block 11	47417
Garden of Eden	47012
Silver Lode	47495
Due notti con Cleopatra	45712
Duel in the Jungle	46942
Phffft	47349
Jivaro	47133
3 Ring Circus	47582
His Majesty O'Keefe	45876
Athena	46728
Living It Up	47184
Carnival Story	46829
Riders to the Stars	46240
Deep in My Heart	46896
Highway Dragnet	47087
Bait	46743
Drum Beat	46936
Princess of the Nile	47366
The Snow Creature	47507
Red Garters	47400
The Bounty Hunter	46801
Rose Marie	47429
Valley of the Kings	47641
Le rouge et le noir	47432
Betrayed	46770
The 'Maggie'	47085
Taza, Son of Cochise	47562
The Good Die Young	47040
Non credo più all'amore (La paura)	47336
King Richard and the Crusaders	47150
Down Three Dark Streets	46928
The Adventures of Hajji Baba	46683
En lektion i kärlek	47167
The Mad Magician	47200
The Command	46865
L'oro di Napoli	47313
Cattle Queen of Montana	46839
Beau Brummell	46759
Le comte de Monte-Cristo	46415
Mädchenjahre einer Königin	47259
Drive a Crooked Road	46935
The Sea Shall Not Have Them	47463
Orders Are Orders	47310
The Sleeping Tiger	47505
The Runaway Bus	47434
Murder by Proxy	46792
La romana	47427
The Harassed Hero	47064
Rogue Cop	47424
