title	idx
Grease	77631
National Lampoon's Animal House	77975
Halloween	77651
Jaws 2	77766
The Deer Hunter	77416
Superman	78346
Days of Heaven	77405
Midnight Express	77928
Dawn of the Dead	77402
Force 10 from Navarone	77572
Invasion of the Body Snatchers	77745
Up in Smoke	78446
Pretty Baby	78111
Day of the Woman	77713
Foul Play	77578
Convoy	77369
The Lord of the Rings	77869
Starcrash	79946
Quel maledetto treno blindato	76584
Corvette Summer	77372
Heaven Can Wait	77663
Watership Down	78480
Goin' South	77621
The Fury	77588
Every Which Way but Loose	77523
The Wiz	78504
Piranha	78087
The Boys from Brazil	77269
Death on the Nile	77413
Game of Death	77594
Coma	77355
Coming Home	77362
Straight Time	78326
Zui quan	80179
Capricorn One	77294
The Buddy Holly Story	77280
Felicity	79144
Sgt. Pepper's Lonely Hearts Club Band	78239
Höstsonaten	77711
The Medusa Touch	77921
Eyes of Laura Mars	77530
The Cat and the Canary	77304
Hooper	77696
Attack of the Killer Tomatoes!	80391
The Driver	77474
Damien: Omen II	77394
Battlestar Galactica	77215
The Thirty Nine Steps	78389
The Wild Geese	78492
Who'll Stop the Rain	78490
Paradise Alley	78056
Magic	77889
The Legacy	79450
Big Wednesday	77235
La cage aux folles	77288
Shao Lin san shi liu fang	78243
La montagna del dio cannibale	77945
Interiors	77742
F.I.S.T	77531
California Suite	77289
The First Great Train Robbery	79240
I Wanna Hold Your Hand	77714
Return from Witch Mountain	78158
The Boys in Company C	77270
The End	77504
Revenge of the Pink Panther	78163
Ice Castles	77716
The Big Sleep	77234
Same Time, Next Year	78199
Comes a Horseman	77360
Eskimo Limon	79118
King of the Gypsies	77807
Interno di un convento	76200
Blue Collar	77248
The Swarm	78350
The Toolbox Murders	78405
Long Weekend	79482
The Manitou	77904
The Cat from Outer Space	77305
Préparez vos mouchoirs	78122
Gray Lady Down	77629
Thank God It's Friday	78382
Moment by Moment	77942
The Silent Partner	78269
An Unmarried Woman	78444
Good Guys Wear Black	79227
Wu du	77559
The Evil	77524
Hot Lead and Cold Feet	77698
Go Tell the Spartans	77617
Se ying diu sau	78252
FM	77532
An Enemy of the People	75993
Fairy Tales	77534
Circle of Iron	78975
Così come sei	77373
Laserblast	77834
The Shout	78259
Harper Valley P.T.A.	77660
The Betsy	77228
Ai no bôrei	77132
The Chant of Jimmie Blacksmith	77318
Deathsport	77414
Piccole labbra	77682
A Wedding	78481
Carry on Emmannuelle	77300
Killer of Sheep	76263
The Cheap Detective	77321
Avalanche	77189
Patrick	78067
Fedora	77539
L'immoralità	77726
Pari e dispari	78058
Malibu Beach	77895
Du er ikke alene	80662
Warlords of Atlantis	78474
French Quarter	76055
Killer's Moon	77801
Terror	141897
La ragazza dal pigiama giallo	75834
Girlfriends	77613
Jubilee	76240
Uchu kara no messeji	78435
Bloodbrothers	78878
In Praise of Older Women	77728
The Bad News Bears Go to Japan	77199
The Brink's Job	77275
The Fifth Floor	80732
Frauen für Zellenblock 9	123847
It Lives Again	77756
Oliver's Story	78024
Remember My Name	78150
The Stud	78333
The Bermuda Triangle	78417
Avere vent'anni	77191
Fingers	77549
Nurse Sherri	76478
La visita del vicio	76888
The Irishman	77749
Movie Movie	77952
The Water Babies	78477
The Big Fix	77233
Absolution	81975
Born Again	77261
The Greek Tycoon	77636
L'albero degli zoccoli	77138
The ABC of Love and Sex: Australia Style	77116
Coach	77351
Candido erotico	75806
Spawn of the Slithis	78277
Rabbit Test	78133
Don	77451
Adventures of a Plumber's Mate	77125
Vampire Hookers	80080
Schöner Gigolo, armer Gigolo	79867
The Norseman	78007
The Bees	75620
Amore, piombo e furore	77327
Rupan sansei	78187
L'amour violé	74141
Who Is Killing the Great Chefs of Europe?	78488
Prova d'orchestra	79759
Panna a netvor	78054
Picassos äventyr	78084
Rockers	79815
In einem Jahr mit 13 Monden	77729
The Playbirds	78092
Loose Shoes	76582
Le evase - Storie di sesso e di violenze	77520
Violette Nozière	78467
Satyam Shivam Sundaram: Love Sublime	78204
Matilda	77917
Solamente nero	78288
Alien Zone	72626
The Seniors	78228
Pensione paura	76884
The One and Only	78034
Caravans	77296
Folle... folle... fólleme Tim!	167941
Les bronzés	77276
House Calls	77699
A Dama do Lotação	77393
High-Ballin'	77679
The Hound of the Baskervilles	76161
La settima donna	78235
The Redeemer: Son of Satan!	130216
The Alien Factor	75656
Sweeney 2	78351
Starhops	78318
Nathalie rescapée de l'enfer	216023
L'amant de poche	77155
Adéla jeste nevecerela	75633
Les raisins de la mort	78077
Shalimar	78241
Barracuda	77210
Renaldo and Clara	78151
The Comeback	77357
Die Insel der tausend Freuden	77739
Pilgrim's Progress	359836
Quan jing	78128
International Velvet	77743
Skateboard	76721
A Different Story	77435
Somebody Killed Her Husband	78294
Ángel negro	76961
Despair	77421
The Further Adventures of the Wilderness Family	77587
La chambre verte	77315
Sürü	78355
Kibar Feyzo	252597
Zhong hua zhang fu	80172
The Magic of Lassie	77890
American Hot Wax	77158
Can que	77292
Leidenschaftliche Blümchen	76306
1922	79643
Wombling Free	76931
Ghar	77609
The Sorcerer's Apprentice	75811
Teufelscamp der verlorenen Frauen	75935
Fatto di sangue fra due uomini per causa di una vedova. Si sospettano moventi politici	78256
Jennifer	77769
She he ba bu	78251
Les liens de sang	76313
Papaya dei Caraibi	78055
Give Us Tomorrow	245920
Casey's Shadow	77303
Tomorrow Never Comes	76832
Brass Target	77272
Our Winning Season	78047
The Mafu Cage	77888
The Astral Factor	87479
Une histoire simple	75975
Blue Movie	77252
Enigma rosso	77505
Schulmädchen-Report 12. Teil - Wenn das die Mammi wüßte	78210
Yi zhao ban shi chuang jiang hu	80623
Il grande attacco	76102
Yüz karasi	3990924
Pati Patni Aur Woh	158845
Sieben Sommersprossen	78264
Yagyû ichizoku no inbô	78513
Mardi Gras Massacre	77912
Main Tulsi Tere Aangan Ki	151466
Jokes My Folks Never Told Me	134751
Dan Oniroku: Nawa-geshô	287397
Messer im Kopf	77924
Escalofrío	75999
Madman	77886
Helga, la louve de Stilberg	215837
Les rendez-vous d'Anna	78152
El patrullero 777	76532
Doctor Dracula	82273
Lo chiamavano Bulldozer	77864
La soldatessa alle grandi manovre	78290
La guerra dei robot	77640
Teen Lust	78100
La liceale nella classe dei ripetenti	77851
The Children of Sanchez	77326
The Discord	78528
Frauen ohne Unschuld	220470
Zero to Sixty	78522
Ritratto di borghesia in nero	76628
Melody in Love	77922
Mr. No Legs	82775
Chirin no suzu	306646
Saajan Bina Suhagan	388387
What's Up Nurse!	76912
Rosie Dixon - Night Nurse	78180
Striptease	75275
Neseli Günler	765833
L'insegnante viene a casa	77738
Vil du se min smukke navle?	78464
Let's Get Laid	76310
Fei Lung gwoh gong	77538
Voglia di donna	153584
Le témoin	78377
Almost Summer	77152
Tarka the Otter	79988
My Way Home	77964
Moy laskovyy i nezhnyy zver	172812
La petite fille en velours bleu	78079
Power Play	78105
Perceval le Gallois	78073
Piedone l'africano	76544
Cyclone	75901
L'insegnante va in collegio	77737
Mean Dog Blues	77919
Primo amore	129320
Okupacija u 26 slika	79659
I'm Shy, But I'll Heal	77768
La fine del mondo nel nostro solito letto in una notte piena di pioggia	77548
Zan xian sheng yu zhao qian Hua	78517
Ciao maschio	75848
What's Up Superdoc!	78484
Blackout	77241
Lal Kothi	961063
Slavers	75230
A Distant Thunder	75945
Die munteren Sexspiele der Nachbarn	77961
Attention, les enfants regardent	77184
The Sea Gypsies	78215
El arracadas	205750
Death Dimension	77408
Muqaddar Ka Sikandar	79590
Kravgi gynaikon	77473
Cat in the Cage	77306
Death Force	76024
Hell Hole	77666
Summer Night Fever	78340
Deseo carnal	75934
El lugar sin límites	76336
Sammy's Super T-Shirt	78200
The Escape	77295
Phaansi	237564
Leng xue shi san ying	77868
Khatta Meetha	77797
La chanson de Roland	77317
The Odd Job	78016
Nan Shao Lin yu bei Shao Lin	77973
Ensalada Baudelaire	77506
Fei du juan yun shan	77541
Si wang mo ta	62936
Emanuelle e Lolita	101807
Dove vai in vacanza?	77465
La sorella di Ursula	78300
Moby Dick	452823
Badaltey Rishtey	77200
Hababam Sinifi Dokuz Doguruyor	289968
Mirrors	76365
Incontri molto... ravvicinati del quarto tipo	78460
Stingray	78323
Legacy of Blood	77844
Nighthawks	77993
Sella d'argento	78224
Bez znieczulenia	78857
La via della prostituzione	76878
The Six Thousand Dollar Nigger	81572
Sigappu Rojakkal	156079
The Squeeze	78313
Poliziotto senza paura	76554
Mysteries	77965
Popcorn und Himbeereis	78102
Trishul	78418
Stony Island	78324
Stevie	78321
Johnny West	76232
The Other Side of the Mountain: Part II	78044
A Hero Ain't Nothin' But a Sandwich	77669
Goin' Coconuts	77620
The Yin and the Yang of Mr. Go	66592
Can ku da ci sha	75802
Viol, la grande peur	178970
Oi tembelides tis eforis koiladas	128725
Corleone	75879
Mullum Malarum	235609
They Went That-A-Way & That-A-Way	78384
Chez Nous	77323
El andariego	233216
Noches de cabaret	257971
Le dernier amant romantique	77689
Slow Dancing in the Big City	78278
E yu tou hei sha xing	190060
Kasme Vaade	77792
Cheerleaders Beach Party	212860
Savana - Sesso e diamanti	1534502
Youngblood	181907
Newsfront	77986
Indagine su un delitto perfetto	79340
Hi-Riders	76140
L'hypothèse du tableau volé	77707
Alessia... un vulcano sotto la pelle	77140
Bosko Buha	78897
La Banda Del Carro Rojo	315254
Die Sister, Die!	68485
Occhi dalle stelle	78015
La escopeta nacional	76001
Ganga Ki Saugand	77596
The Alpha Incident	75662
O Bem Dotado - O Homem de Itu	78845
Un papillon sur l'épaule	78439
Molière	77941
Sultan	264051
Passe ton bac d'abord...	79701
Huo shao shao lin men	77277
Köseyi Dönen Adam	252618
The Night, the Prowler	77992
Pastorale 1943	78066
Five Days from Home	77557
Nunzio	78011
Northern Lights	78008
L'orgia	76505
Le sucre	78338
Mig og Charly	124002
On the Yard	79665
The One Man Jury	78032
Uncle Joe Shannon	78442
Olyan, mint otthon	78027
Tang lang	78360
Night Creature	79626
The Lucifer Complex	77877
Smokey and the Good Time Outlaws	78284
Trocadéro bleu citron	78419
Karmayogi	367927
Till Death	78399
Des Pardes	154390
Bandie	1219315
Sonezaki shinju	77463
Metamorphoses	78495
Brigade mondaine	167806
Män kan inte våldtas	77968
Olly, Olly, Oxen Free	78025
Yalniz kalp	3998036
Salinnabileul ggotneun yeoja	163816
Ecce bombo	77482
Azaad	157337
Sivaranjani	251999
Robert et Robert	78171
The Gypsy Warriors	77646
Death Drug	77409
Tai ji yuan gong	77262
Dil Aur Deewaar	154412
Lyftet	77881
Texas Detour	78379
Las que empiezan a los quince años	77833
Porco mondo	76557
Besharam	77226
If Ever I See You Again	77720
Los violadores del amanecer	78466
El diputado	77438
Dillagi	157540
Ko zorijo jagode	77813
Team-Mates	174261
L'hôtel de la plage	77710
L'argent des autres	77175
Sooteh-Delan	78299
Bilbao	77236
Sweater Girls	81583
Eutanasia di un amore	77519
Les routes du sud	78170
Osou!	285853
La ballade des Dalton	77204
L'osceno desiderio	76571
Patayin si ... Mediavillo	496812
Here Come the Tigers	77668
Intercambio de parejas frente al mar	77741
Maro Charithra	154849
Cugine mie	75897
Bermude: la fossa maledetta	77225
Jaganmohini	77760
Vahsi ve tatli	3910672
Blue Fin	77249
La Fille à la fourrure	269603
Blood & Guts	77244
Kichiku	202434
Little Boy Lost	77856
La mujer de la tierra caliente	77958
Un poliziotto scomodo	152018
Le dossier 51	176666
Kara Murat: Devler Savasiyor	392224
Eeta	266501
Arvind Desai Ki Ajeeb Dastaan	77179
Kumokiri Nizaemon	164707
Just Tell Me You Love Me	188013
Travolto dagli affetti familiari	153277
The Class of Miss MacMichael	77341
I Miss You, Hugs and Kisses	77712
Tigar	78397
Xiu hua da dao	77339
Yüz Numarali Adam	253970
¿Qué hace una chica como tú en un sitio como éste?	78544
Charmurti	2265207
Sunset Cove	78342
The Foreigner	77573
Hurra - Die Schwedinnen sind da	77706
Devata	363563
Sa-dae-tong-iue-moon	3141954
Chittu Kuruvi	276859
Killer's Delight	77932
Gaman	150683
La banda del gobbo	75720
Maden	183459
