title	idx
Aquaman	1477834
Nomis	6533240
A Simple Favor	7040874
Bad Times at the El Royale	6628394
Bohemian Rhapsody	1727824
Spider-Man: Into the Spider-Verse	4633694
Avengers: Infinity War	4154756
Mortal Engines	1571234
Mission: Impossible - Fallout	4912910
The Mule	7959026
Can You Ever Forgive Me?	4595882
A Star Is Born	1517451
Deadpool 2	5463162
Fantastic Beasts: The Crimes of Grindelwald	4123430
Hereditary	7784604
Crazy Rich Asians	3104988
The Favourite	5083738
Green Book	6966692
A Quiet Place	6644200
Mary Poppins Returns	5028340
Robin Hood	4532826
Freaks	8781414
American Woman	4465572
First Man	1213641
Black Panther	1825683
Venom	1270797
Solo: A Star Wars Story	3778644
Widows	4218572
Mandy	6998518
Hunter Killer	1846589
BlacKkKlansman	7349662
Ready Player One	1677720
Red Sparrow	2873282
Annihilation	2798920
Hotel Mumbai	5461944
Keepers	4131496
Suspiria	1034415
Halloween	1502407
High Life	4827558
Holmes & Watson	1255919
Ralph Breaks the Internet	5848272
In Fabric	7464188
Instant Family	7401588
Vice	6266538
Jurassic World: Fallen Kingdom	4881806
The Meg	4779682
Dragged Across Concrete	6491178
Mary Queen of Scots	2328900
The Nightingale	4068576
Climax	8359848
The Ballad of Buster Scruggs	6412452
Overlord	4530422
Arctic	6820256
Gräns	5501104
The Spy Who Dumped Me	6663582
Mamma Mia! Here We Go Again	6911608
Ocean's Eight	5164214
Peppermint	6850820
Bumblebee	4701182
Incredibles 2	3606756
Les frères Sisters	4971344
A Million Little Pieces	427543
Mile 22	4560436
Driven	5592796
Under the Silver Lake	5691670
Den of Thieves	1259528
The Predator	3829266
Skin	6043142
The Nun	5814060
Capharnaüm	8267604
The Girl in the Spider's Web	5177088
The Perfection	7772580
Bird Box	2737304
Mid90s	5613484
The House That Jack Built	4003440
Creed II	6343314
Tomb Raider	1365519
Beautiful Boy	1226837
Ant-Man and the Wasp	5095030
The Kissing Booth	3799232
The Old Man & the Gun	2837574
Sorry to Bother You	5688932
Searching	7668870
Death Wish	1137450
Boy Erased	7008872
Eerie	8723216
Sicario: Day of the Soldado	5052474
Upgrade	6499752
Hex	6143782
The Hate U Give	5580266
Bigger	3226786
Game Night	2704998
The Equalizer 2	3766354
Tag	2854926
Operation Finale	5208252
Nekrotronic	7453418
To All the Boys I've Loved Before	3846674
Replicas	4154916
Fifty Shades Freed	4477536
Nightmare Cinema	7349910
Animales sin collar	7474914
The Boat	7468616
Night School	6781982
Assassination Nation	6205872
Roma	6155172
Rampage	2231461
Destroyer	7137380
Smallfoot	6182908
Bloodline	8883524
Mary Magdalene	5360996
The Professor	6865690
Love, Simon	5164432
Truth or Dare	6772950
Beoning	7282468
On the Basis of Sex	4669788
Slaughterhouse Rulez	6905696
White Boy Rick	4537896
Outlaw King	6679794
Apostle	6217306
Destination Wedding	6987770
Greta	2639336
12 Strong	1413492
Overboard	1563742
Hotel Artemis	5834262
The Guernsey Literary and Potato Peel Pie Society	1289403
Second Act	2126357
Maze Runner: The Death Cure	4500922
Don't Worry, He Won't Get Far on Foot	6288124
Isle of Dogs	5104604
Welcome to Marwen	3289724
London Fields	1273221
Adrift	6306064
Andhadhun	8108198
