title	idx
Rosemary's Baby	63522
The Love Bug	64603
2001: A Space Odyssey	62622
Once Upon a Time in the West	64116
Barbarella	62711
The Heart Is a Lonely Hunter	63050
The Wrecking Crew	65225
Planet of the Apes	63442
Chitty Chitty Bang Bang	62803
Night of the Living Dead	63350
Bullitt	62765
Oliver!	63385
Romeo and Juliet	63518
Pretty Poison	63456
Where Eagles Dare	65207
The Thomas Crown Affair	63688
The Killing of Sister George	63185
Coogan's Bluff	62824
Funny Girl	62994
Hang 'Em High	61747
The Lion in Winter	63227
Yours, Mine and Ours	63829
The Party	63415
Candy	62776
The Odd Couple	63374
If....	63850
The Swimmer	63663
Dracula Has Risen from the Grave	62909
Il grande silenzio	63032
La mujer murcielago	235608
Yellow Submarine	63823
Kaijû sôshingeki	63172
Krakatoa: East of Java	64555
Konchû daisensô	63195
The Green Berets	63035
The Devil Rides Out	62885
Teorema	63678
Vargtimmen	63759
Vixen!	63787
Charly	62794
Histoires extraordinaires	63715
The Boston Strangler	62755
The Charge of the Light Brigade	62790
Hellfighters	63060
The Devil's Brigade	62886
The One and Only, Genuine, Original Family Band	63389
Witchfinder General	63285
Ice Station Zebra	63121
Secret Ceremony	63571
Head	63049
Baisers volés	62695
Bandolero!	62708
Il mercenario	63293
Skidoo	63612
Lady in Cement	63210
Diabolik	62861
The Scalphunters	63557
The Mercenaries	62863
The Biggest Bundle of Them All	62731
Greetings	63036
Shalako	63592
The Girl on a Motorcycle	63013
Faces	62952
Three in the Attic	63693
Isadora	63141
Blackbeard's Ghost	62737
Finian's Rainbow	62974
The Stalking Moon	65032
The Green Slime	64393
Hell in the Pacific	63056
I quattro dell'Ave Maria	64860
Skammen	63611
Yabu no naka no kuroneko	122136
Carry On... Up the Khyber	62782
Adieu l'ami	62639
Speedway	63634
The Astro-Zombies	64048
Il giorno della civetta	63010
Targets	63671
A Midsummer Night's Dream	63297
Necronomicon - Geträumte Sünden	62032
Twisted Nerve	63729
A Pál utcai fiúk	62164
Petulia	63426
The Magus	63260
With Six You Get Eggroll	63821
Inspector Clouseau	63135
The Detective	62883
Journey to Shiloh	63161
Psych-Out	63469
Preparati la bara!	62151
All the Sins of Sodom	61345
Hammerhead	63041
Curse of the Crimson Altar	62833
The Lost Continent	63240
Rachel, Rachel	63483
Star!	63642
La morte ha fatto l'uovo	61994
The Shoes of the Fisherman	63599
Firecreek	62975
Flesh	62979
The Night They Raided Minsky's	63348
Wild in the Streets	63808
The Shakiest Gun in the West	63591
A Lovely Way to Die	63246
La bataille de San Sebastian	62713
L'enfance nue	65695
La mariée était en noir	61955
The Horse in the Gray Flannel Suit	63091
Where Angels Go Trouble Follows!	63800
Astérix et Cléopâtre	62687
The Secret War of Harry Frigg	63573
5 Card Stud	62626
Lo sbarco di Anzio	62673
Up the Junction	62426
Corruption	61520
Kamigami no fukaki yokubô	63173
Il dolce corpo di Deborah	64243
The Sea Gull	63569
Duffy	62917
Fando y Lis	61643
The Subject Was Roses	63654
Mayerling	64645
Lebenszeichen	63218
The Fixer	62977
The Sweet Ride	63662
Villa Rides	63775
Wonderwall	65224
Un tranquillo posto di campagna	65119
Robby	63513
Hot Millions	63094
The Brotherhood	62760
I Love You, Alice B. Toklas!	63115
No Way to Treat a Lady	63356
Joanna	63157
Voyage to the Planet of Prehistoric Women	63790
Les oiseaux vont mourir au Pérou	63383
Se incontri Sartana prega per la tua morte	63568
Kôshikei	63198
Olsen-banden	63386
Blue	62742
Thunderbird 6	63694
Comanche blanco	61497
Counterpoint	62829
Al di là della legge	62645
Memorias del subdesarrollo	63291
Live a Little, Love a Little	63231
The Power	63452
Lonesome Cowboys	63236
Here We Go Round the Mulberry Bush	63063
Någon att älska	67508
Jag är nyfiken - en film i blått	63149
The Birthday Party	62732
Hasta el viento tiene miedo	61752
The Legend of Lylah Clare	63219
The Anniversary	62671
Oggi a me... domani a te!	63379
Madigan	63256
The Wicked Die Slow	261408
Corri uomo corri	62825
The Split	63636
Je t'aime, je t'aime	63152
La prisonnière	63458
Boom	62751
Do Kaliyaan	233587
Girl in Gold Boots	174685
Les biches	62728
Where Were You When the Lights Went Out?	63801
The Sergeant	63585
The Vengeance of She	63765
La ragazza con la pistola	63485
The Impossible Years	63128
Tha kano petra tin kardia mou	220809
Le gendarme se marie	63005
Un minuto per pregare, un istante per morire	63308
What's So Bad About Feeling Good?	63799
Brand of Shame	131985
Grazie zia	63033
Uptight	63748
The Blood Beast Terror	61411
Buona Sera, Mrs. Campbell	62767
Le dolci signore	61586
Never a Dull Moment	63341
Ankhen	147811
Manon 70	63271
The Blood of Fu Manchu	62741
Kuro tokage	63203
Paper Lion	63410
Izzat	254437
Charlie Bubbles	62792
Sweet November	63661
Murder à la Mod	163114
Jag - en oskuld	61833
Prudence and the Pill	63467
Therese and Isabelle	63683
Las Vegas, 500 millones	63684
L'homme qui ment	63080
Le petit baigneur	62120
Bye Bye Braverman	62768
Oedipus the King	63376
Angélique et le sultan	61357
Day of the Evil Gun	62865
The Face of Eve	62951
Stay Away, Joe	63643
Hatsukoi: Jigoku-hen	61754
The Strange Affair	63647
The Pink Jungle	63429
The Losers	240689
7 uomini e un cervello	62253
Le pacha	62092
Partner.	63414
Ruba al prossimo tuo	64329
For Love of Ivy	62985
Carne	64130
Brahmachari	147925
Il profeta	63464
Suburban Roulette	62317
Padosan	63404
Seeds	235751
Egri csillagok	62925
The Mini-Skirt Mob	63306
The Tattoo	63674
Kampf um Rom I	63174
Aabroo	290393
Údolí vcel	122770
Vivo per la tua morte	65997
A Dandy in Aspic	62859
The Loves of Ondine	61923
Hot Spur	63095
Project X	63465
Uden en trævl	63732
Eva, la Venere selvaggia	62946
Mad Doctor of Blood Island	63255
Duniya	62918
How Sweet It Is!	63098
La morte non ha sesso	63323
Tokugawa onna keibatsu-shi	59816
Vesikali Yarim	252084
I lunghi giorni dell'odio	66451
Lucrezia	63249
The Wicked Dreams of Paula Schultz	63805
Nobody Runs Forever	63067
Taiyô no ôji: Horusu no daibôken	63668
Sebastian	63570
Deadfall	62868
Rengô kantai shirei chôkan: Yamamoto Isoroku	63822
Ammazzali tutti e torna solo	62659
Chôhen kaijû eiga: Urutoraman	204714
Il mio corpo per un poker	61981
L'invincibile Superman	62179
The Hellcats	61759
Interlude	63136
Mere Hamdam Mere Dost	175908
Great Catherine	63034
The Fiction-Makers	61662
How to Make a Doll	63101
Brides of Blood	62758
Alexandre le bienheureux	61343
Le viol du vampire	62446
Kaidan yukijorô	63171
Un soir, un train	63737
Nude... si muore	63370
Banditi a Milano	62707
Salt and Pepper	63534
Don't Raise the Bridge, Lower the River	61591
A Twist of Sand	63728
Saraswatichandra	148706
Kiru	63186
House of Cards	64448
La marca del Hombre Lobo	63275
Amanti	62656
She-Devils on Wheels	63595
Teen Bahuraniyan	293634
Joko invoca Dio... e muori	63159
Schamlos	63560
Vaasna	254843
Zolotoy telyonok	63845
Vibrations	62440
Jin yan zi	63105
Les jeunes loups	63154
La matriarca	64643
Submarine X-1	63655
The Big Switch	65469
Gates to Paradise	62461
I bastardi	62712
Un dollaro per 7 vigliacchi	63303
Raja Aur Runk	214037
Lo voglio morto	63233
La chamade	62789
Koritsia ston ilio	135512
Olsen-banden	129273
Kyuketsuki Gokemidoro	63206
The Hell with Heroes	63057
P.J.	63402
Arizona Bushwhackers	62676
Marie pour mémoire	61954
The Savage Seven	63553
Niente rose per OSS 117	62099
The Satanist	416207
I arhontissa ki o alitis	182730
Jigsaw	63155
Mission Batangas	64673
The Private Navy of Sgt. O'Farrell	63459
Attack on the Iron Coast	62688
House of Evil	63097
Mere Huzoor	290763
The Bofors Gun	62746
The Valley of Death	63818
Frau Wirtin hat auch einen Grafen	62991
Rozmarné léto	63527
O Bandido da Luz Vermelha	144782
Finders Keepers, Lovers Weepers!	62973
Black Jack	62736
Commandos	62819
How to Save a Marriage and Ruin Your Life	63102
Neun Leben hat die Katze	130141
Satanik	63549
The Bliss of Mrs. Blossom	62739
Diamonds for Breakfast	62888
Haseena Maan Jayegi	239452
Benjamin ou Les mémoires d'un puceau	62724
Only When I Larf	63390
Till Death Us Do Part	65105
Just for the Hell of It	63167
E per tetto un cielo di stelle	62618
Nobody's Perfect	63361
Before Winter Comes	64075
Fear Chamber	62960
The Bamboo Saucer	62704
Las visitaciones del diablo	62449
Don't Just Stand There	62901
Subterfuge	65045
Eat Your Makeup	61611
Quella sporca storia nel west	63479
Valentín de la Sierra	294998
Sol Madrid	63621
Kahin Din Kahin Raat	290689
Sequestro di persona	63582
Sunghursh	63540
Assignment K	62683
The Legend of Custer	820915
Chronik der Anna Magdalena Bach	62804
Bora Bora	62753
College Girls	123705
Lady Godiva Rides	125332
Tutto per tutto	62403
Fanny Hill	62958
The Young Runaways	63827
Testa di sbarco per otto implacabili	62357
Aashirwad	147855
La rivoluzione sessuale	63511
Quel caldo maledetto giorno di fuoco	64013
Saathi	63532
Shikar	148841
La louve solitaire	63241
Angels from Hell	62669
Daughters of Lesbos	217375
The Ghastly Ones	64369
Por mis pistolas	63446
Neel Kamal	148523
Kudiyiruntha Koyil	1477001
Capriccio all'italiana	62779
Ognuno per sé	60777
Im Schloß der blutigen Begierde	61806
...som havets nakna vind	62619
Lucía	64609
Reconstituirea	63493
The Young Animals	62754
Lila	63272
The Secret Life of an American Wife	63572
Mission Mars	63311
Ho!	63072
