title	idx
The Exorcist	70047
American Graffiti	69704
Mean Streets	70379
Badlands	69762
Ppa Ppi Yong	70511
The Sting	70735
La montaña sagrada	71615
The Wicker Man	70917
Magnum Force	70355
Soylent Green	70723
Enter the Dragon	70034
Serpico	70666
Don't Look Now	69995
Live and Let Die	70328
Contes immoraux	71359
Westworld	70909
Robin Hood	70608
High Plains Drifter	68699
Coffy	69897
The Last Detail	70290
The Way We Were	70903
Paper Moon	70510
The Three Musketeers	72281
The Long Goodbye	70334
La planète sauvage	70544
Cahill U.S. Marshal	69834
The Day of the Jackal	69947
Il mio nome è Nessuno	70215
Amarcord	71129
Jesus Christ Superstar	70239
Walking Tall	70895
Scarecrow	70643
Charlotte's Web	70016
Malizia	70358
Lemora: A Child's Tale of the Supernatural	70300
The Golden Voyage of Sinbad	71569
Teenage Tramp	128719
Gojira tai Megaro	70122
Pat Garrett & Billy the Kid	70518
La nuit américaine	70460
Kanashimi no beradonna	71203
The Legend of Hell House	70294
Thriller - en grym film	72285
Sleeper	70707
Shurayukihime	158714
La grande bouffe	70130
White Lightning	70915
I corpi presentano tracce di violenza carnale	69920
The Paper Chase	70509
Pets	71992
Turks fruit	70842
The Last of Sheila	70291
Invasion of the Bee Girls	70222
Heavy Traffic	70165
Anita	69718
Lost Horizon	70337
The Vault of Horror	70868
Oklahoma Crude	70472
The Mack	70350
Godspell: A Musical Based on the Gospel According to St. Matthew	70121
Breezy	69822
Sssssss	70622
The Crazies	69895
Theater of Blood	70791
Battle for the Planet of the Apes	69768
Charley Varrick	69865
Ganja & Hess	68619
The Friends of Eddie Coyle	70077
The Satanic Rites of Dracula	70634
Bang the Drum Slowly	69765
Black Mama White Mama	68282
O Lucky Man!	70464
Terminal Island	70782
Messiah of Evil	71396
El espíritu de la colmena	70040
Flesh for Frankenstein	71508
The Cheerleaders	68364
Ludwig	68883
That'll Be the Day	70788
Baba Yaga	69753
The Baby	69754
Lolly-Madonna XXX	70332
La nuit des étoiles filantes	66914
Carry on Girls	69848
Emperor of the North Pole	70030
La rose de fer	126004
The Day of the Dolphin	69946
Electra Glide in Blue	70022
The Offence	70468
The Seven-Ups	70672
La comtesse noire	69745
Tom Sawyer	70814
Les aventures de Rabbi Jacob	69747
Scorpio	70653
I Escaped from Devil's Island	70205
Wonder Women	70926
Shamus	70680
The Roommates	236693
Jeremy	70238
The Iceman Cometh	70212
The Train Robbers	70825
Schlock	67716
'Gator Bait	74080
La maman et la putain	70359
Love Thy Neighbour	191255
Schulmädchen-Report 5. Teil - Was Eltern wirklich wissen sollten	70649
Dillinger	69976
Psychomania	67630
Lisa e il diavolo	68863
The Man Who Loved Cat Dancing	70363
The Last American Hero	70287
Hitler: The Last Ten Days	70184
Valdez, il mezzosangue	69833
Save the Tiger	70640
The Harrad Experiment	70157
Cleopatra Jones	69890
Zhui sha	1223467
Der Fluch der schwarzen Schwestern	70066
The MacKintosh Man	70351
The Forgotten	69994
Cinderella Liberty	69883
Tiffany Jones	70802
No encontré rosas para mi madre	69014
The Stone Killer	70736
No Sex Please - We're British	70450
Superdad	70716
Le journal intime d'une nymphomane	69973
A Touch of Class	70819
Cannibal Girls	69841
The Killing Kind	70270
The Man from Acapulco	70354
Frühreifen-Report	150661
Le guerriere dal seno nudo	70140
Tales That Witness Madness	70770
No Place to Hide	66156
Beyond Atlantis	69783
The Laughing Policeman	70292
Shaft in Africa	70679
La morte ha sorriso all'assassino	68972
Ivan Vasilevich menyaet professiyu	70233
La corrupción de Chris Miller	69922
Les démons	68522
The Outfit	71960
The Creeping Flesh	68424
The Neptune Factor	70438
Rappresaglia	70592
Don Juan ou Si Don Juan était une femme...	69990
Furyô anego den: Inoshika Ochô	70085
Sanatorium pod Klepsydra	70628
Blue Summer	69807
Jonathan Livingston Seagull	70248
Sixteen	69276
Diao shou guai zhao	68000
Scream Blacula Scream	70656
Black Snake	69796
Idaho Transfer	71647
Fleshpot on 42nd Street	62980
Stacey	70727
La campana del infierno	69838
Night Watch	70444
Executive Action	70046
Holiday on the Buses	71613
The Mad Bomber	68892
Alvin Purple	69698
The World's Greatest Athlete	70928
Payday	69067
El gran amor del conde Drácula	68654
Il plenilunio delle vergini	70547
La morte negli occhi del gatto	68415
Daddy's Deadly Darling	70537
El castillo de la pureza	68348
Slither	69282
Black Caesar	69792
Scalawag	70642
Wicked, Wicked	70916
