title	idx
The Shining	81505
Star Wars: Episode V - The Empire Strikes Back	80684
Airplane!	80339
The Blues Brothers	80455
Caddyshack	80487
Raging Bull	81398
The Blue Lagoon	80453
Friday the 13th	80761
Cannibal Holocaust	78935
Flash Gordon	80745
Popeye	81353
The Elephant Man	80678
Urban Cowboy	81696
Cruising	80569
Humanoids from the Deep	80904
American Gigolo	80365
Ordinary People	81283
The Fog	80749
Dressed to Kill	80661
Nine to Five	80319
Superman II	81573
Fame	80716
Heaven's Gate	80855
Battle Beyond the Stars	80421
The Watcher in the Woods	81738
Xanadu	81777
The Changeling	80516
Somewhere in Time	81534
Saturn 3	79285
The Final Countdown	80736
Prom Night	81383
Altered States	80360
Coal Miner's Daughter	80549
The Gods Must Be Crazy	80801
Used Cars	81698
Inferno	80923
Tom Horn	80031
Alligator	80354
The Long Riders	81071
Any Which Way You Can	80377
Little Darlings	81060
My Bodyguard	81207
The Long Good Friday	81070
The Big Red One	80437
Kagemusha	80979
Maniac	81114
Mangiati vivi!	81112
Stir Crazy	81562
Shogun Assassin	81506
The Hollywood Knights	80881
Paura nella città dei morti viventi	81318
Midnight Madness	81159
Death Ship	80603
Private Benjamin	81375
The Hunter	80907
Brubaker	80474
'Breaker' Morant	80310
Foxes	80756
Virus	82559
Atlantic City, USA	80388
Out of the Blue	81291
Cheech and Chong's Next Movie	80520
Motel Hell	81184
Terror Train	81617
Bad Timing	80408
The Mirror Crack'd	81163
Fatso	80724
The Dogs of War	80641
The Jazz Singer	80948
The Ninth Configuration	81237
He Knows You're Alone	80850
Antropophagus	82479
Lion of the Desert	81059
Smokey and the Bandit II	81529
The Exterminator	80707
Stardust Memories	81554
Galaxina	80771
Gloria	80798
The Stunt Man	81568
The Apple	80380
North Sea Hijack	81809
Where the Buffalo Roam	81748
Can't Stop the Music	80492
Raise the Titanic	81400
Permanent Vacation	84488
The Mountain Men	81187
Tendres cousines	81614
Without Warning	81764
Bronco Billy	80472
Gregory's Girl	82477
Carny	80500
Incubo sulla città contaminata	80931
Hussy	80908
Forbidden Zone	80752
The Island	80934
The Nude Bomb	81249
Seems Like Old Times	81480
The Children	80527
The Boogey Man	80464
Hawk the Slayer	80846
The Octagon	81259
When Time Ran Out...	81747
Melvin and Howard	81150
La boum	82100
Hangar 18	80836
Herbie Goes Bananas	80861
Fade to Black	80711
Mother's Day	81186
A Prisão	171089
Up the Academy	81695
La nuit des traquées	81250
Blood Beach	82083
The Private Eyes	81376
Poliziotto superpiù	82924
La casa sperduta nel parco	80503
Breaking Glass	80469
Le dernier métro	80610
The Unseen	83261
How to Beat the High Cost of Living	80895
Contamination	82000
A Change of Seasons	80515
Honeysuckle Rose	80888
Hopscotch	80889
Pepi, Luci, Bom y otras chicas del montón	81323
Gorp	80809
Shi di chu ma	81499
The Formula	80754
The Sea Wolves	81470
Die Nichten der Frau Oberst	79624
La città delle donne	80539
Inside Moves	80928
Don't Answer the Phone!	80645
Macabro	80764
Times Square	81635
Spetters	81547
Tanya's Island	83168
Resurrection	81414
Sällskapsresan eller Finns det svenskt kaffe på grisfesten	81590
The Earthling	80671
De witte	81765
Battle Creek Brawl	80436
The Awakening	80402
Zombi Holocaust	79788
Serial	81485
Hero at Large	80863
Oh Heavenly Dog	81269
The Fiendish Plot of Dr. Fu Manchu	80731
Heart Beat	80854
Night Games	81228
You Better Watch Out	81793
La mort en direct	81182
The Competition	80556
Rough Cut	81439
Fukkatsu no hi	80768
Alien 2 - Sulla Terra	78749
Sauve qui peut (la vie)	79854
Hide in Plain Sight	80868
The Last Flight of Noah's Ark	81031
The Last Married Couple in America	81032
Vergiss beim Sex die Liebe nicht - Der neue Schulmädchenreport 13. Teil	81461
Harlequin	80842
McVicar	81144
Barnens ö	80419
Just Tell Me What You Want	80975
Ko to tamo peva	76276
The Hearse	80853
Taxi zum Klo	81606
Night of the Demon	81229
Gefangene Frauen	79197
The First Deadly Sin	80738
Wholly Moses!	81751
Roadie	81433
Shao Lin da peng da shi	81494
The Idolmaker	80913
The Man with Bogart's Face	81110
El caníbal	80486
New Year's Evil	82806
It's My Turn	80936
Windwalker	81760
Mon oncle d'Amérique	81176
Schizoid	81459
L'uomo puma	81693
Sechs Schwedinnen von der Tankstelle	81471
Demonoid	82257
Defiance	80605
Babylon	80406
Il bisbetico domato	80439
Ruckus	84611
Femmine infernali	79115
The Godsend	80802
Action	78732
Loulou	81076
L'ultimo cacciatore	87594
Phobia	81334
Touched by Love	81646
Windows	81759
Eden no sono	82450
Night of the Juggler	81230
Orinoco: Prigioniere del sesso	80892
The Return	81421
Oh, God! Book II	81268
The Chain Reaction	80513
O Megalexandros	81148
Caboblanco	80485
Moskva slezam ne verit	79579
The Great Rock 'n' Roll Swindle	80813
Egon Schiele - Exzesse	82311
Cries in the Night	83976
Hardly Working	82501
Scared to Death	81457
The Club	80546
The Happy Hooker Goes Hollywood	80839
Witches' Brew	81763
Falling in Love Again	80714
The Baltimore Bullet	80412
Shri Vinayaka Vijayam	264001
Hong Wending san po bai lian jiao	80905
Goodbye Pork Pie	82464
To All a Goodnight	86449
Viciosas al desnudo	81715
Apocalypse domani	80379
Milka: Elokuva tabuista	81160
Borderline	80465
Loving Couples	81080
I mavri Emmanouella	79104
The Alien Dead	80346
Tajna Nikole Tesle	79985
One-Trick Pony	81280
Nothing Personal	81246
Monster	79573
Tribute	81656
Willie & Phil	81758
Happy Birthday, Gemini	80837
Coast to Coast	80550
Safari 3000	84625
Nightkill	81232
Tranquille donne di campagna	81650
Eugenie (Historia de una perversión)	82345
Below the Belt	80427
La vera storia della monaca di Monza	81706
Bon Voyage, Charlie Brown (and Don't Come Back!!)	80461
The Attic	78806
Tusk	78356
Heerak Rajar Deshe	80856
Golem	80806
Little Miss Marker	81063
Pasión prohibida	81309
Pacific Banana	82875
Foolin' Around	80750
Giselle	85596
In God We Tru$t	80917
Lille Virgil og Orla Frøsnapper	123153
Simon	81518
Del otro lado del puente	333317
Patrick vive ancora	81314
Animalympics	78780
Khubsoorat	244585
First Family	80739
Union City	81687
Mondo cannibale	78936
Le voyage en douce	81729
Nijinsky	81235
Silver Dream Racer	81517
Beyond Evil	80431
The Burning Train	158534
Demented	188557
Cataclysm	80506
Image of the Beast	80915
Les séducteurs	81591
Those Lips, Those Eyes	81625
Jane Austen in Manhattan	80945
Sex with the Stars	81488
Grandiose Delusions	78813
Tsigoineruwaizen	81662
Palácio de Vênus	250640
Desideria: La vita interiore	81724
The Black Marble	80442
Luca il contrabbandiere	81081
Lulu	81086
Sparsh	79938
Bloodeaters	80448
La ragazza del vagone letto	124899
Gui da gui	80827
Middle Age Crazy	81157
Ram Balram	81401
Abdullah	259170
A Small Circle of Friends	81528
Insaf Ka Tarazu	80926
Running Scared	81445
Shaan	81491
Dr. Heckyl and Mr. Hype	80658
Sinfonía erótica	81519
Ariella	241196
Die Laughing	80627
3 hommes à abattre	81658
Cuentos eróticos	79014
Je vais craquer!!!	80950
On a volé la cuisse de Jupiter	81276
La muchacha de las bragas de oro	79586
La cage aux folles II	80489
Piedone d'Egitto	79718
Guangdong shi hu xing yi wu xi	80002
Garazh	79193
Les sous-doués	81541
Mater amatísima	81139
Deutschland bleiche Mutter	80616
Blanca Nieves y sus 7 amantes	82080
Neskolko dney iz zhizni I.I. Oblomova	79619
Ninja bugeicho momochi sandayu	84674
HealtH	79256
La femme enfant	83933
La compagna di viaggio	80555
George and Mildred	138464
La terrazza	81616
The Kidnapping of the President	80997
La moglie in vacanza... l'amante in città	81170
Why Would I Lie?	81753
Mi faccio la barca	82741
Blow Job	80450
Jyoti Bane Jwala	262534
Madicken på Junibacken	81099
Aasha	178204
Island Claws	80933
Le chaînon manquant	187781
The American Success Company	78765
The Return of Josey Wales	331327
Alibaba Aur 40 Chor	79749
Bye Bye Brasil	80482
Da se	284964
Choron Ki Baaraat	237098
Cheaper to Keep Her	80519
Fabian	80709
Wolf Lake	78508
Bancharamer Bagan	310712
Di yi lei xing wei xian	83199
Ta gueule, je t'aime!	2956046
Rising Damp	81431
Chissà perché... capitano tutte a me	80530
Double Negative	80656
The Pilot	79719
O Convite ao Prazer	189443
Le coeur à l'envers	202300
Le guignolo	79252
Nightmares	81233
L'immorale	80916
The Falls	80715
Swayamvar	371974
Aakrosh	80322
Thodisi Bewafaii	81624
Karz	214841
Gilda Live	80790
Ang panday	427626
Mie jue qi qi	77645
Hog Wild	80880
Do Premee	231475
Dan Oniroku hakui nawa jigoku	287973
Il giorno del Cobra	82451
Agency	81989
Me olvidé de vivir	81146
Aap To Aise Na The	178198
El Coyote y la Bronca	331967
The Gong Show Movie	80808
Sekkusu hantâ: Sei kariudo	175153
Yo hice a Roque III	81790
Il mistero di Oberwald	81165
Do Aur Do Paanch	80638
Os Sete Gatinhos	140543
The Blood of Hussain	80447
Les turlupins	83239
Nefeli	84397
Inspecteur la Bavure	80929
Pinball Summer	82902
Memorias de Leticia Valle	79544
Fiend	80730
Ópalo de fuego: Mercaderes del sexo	78053
Prostitute	164142
Un mauvais fils	81678
Je vous aime	80951
Majstori, majstori!	81104
Le coup du parapluie	80565
The Wildcats of St. Trinian's	81757
Estigma	79120
Chère inconnue	82182
Hi no tori 2772: Ai no kosumozôn	79293
Zucchero, miele e peperoncino	81807
