title	idx
All That Heaven Allows	47811
East of Eden	48028
Kismet	48260
Rebel Without a Cause	48545
Lady and the Tramp	48280
To Catch a Thief	48728
The Night of the Hunter	48424
Guys and Dolls	48140
Oklahoma!	48445
The Seven Year Itch	48605
Soldier of Fortune	48640
Les diaboliques	46911
Marty	48356
Kiss Me Deadly	48261
The Ladykillers	48281
Sissi	48624
The Trouble with Harry	48750
This Island Earth	47577
Revenge of the Creature	48554
Pather Panchali	48473
The Court Jester	49096
Bad Day at Black Rock	47849
Du rififi chez les hommes	48021
Killer's Kiss	48254
Tarantula	48696
The Rains of Ranchipur	48538
Summertime	48673
The Indian Fighter	48204
Wichita	48806
Blackboard Jungle	47885
Mister Roberts	48380
The Man with the Golden Arm	48347
We're No Angels	48801
The Dam Busters	46889
The Man from Laramie	48342
Jedda	48227
The Marauders	48351
It Came from Beneath the Sea	48215
To Hell and Back	48729
Ordet	48452
Richard III	49674
The Court-Martial of Billy Mitchell	47956
The Big Combo	47878
Sommarnattens leende	48641
The Last Frontier	49431
Battle Cry	47860
Lady Godiva of Coventry	48279
The Glass Slipper	48124
Bride of the Monster	47898
Davy Crockett: King of the Wild Frontier	47977
The Colditz Story	47945
Strategic Air Command	48667
The Desperate Hours	47985
Artists and Models	47840
The Brain Machine	49028
The Quatermass Xperiment	49646
Love Is a Many-Splendored Thing	48316
Gojira no gyakushû	48127
Mr. Arkadin	48393
The Ship That Died of Shame	48611
Love Me or Leave Me	48317
Tuntematon sotilas	48752
Tall Man Riding	48690
Land of the Pharaohs	48283
My Sister Eileen	48401
The Rose Tattoo	48563
Creature with the Atom Brain	47960
The Left Hand of God	48291
Blood Alley	47889
It's Always Fair Weather	48216
The Virgin Queen	48791
The Long Gray Line	48312
Le amiche	47821
Female on the Beach	48064
Kvinnodröm	48272
Rage at Dawn	48535
Shotgun	48612
Marcelino pan y vino	47216
Man with the Gun	48339
The Violent Men	48789
Ikimono no kiroku	48198
The Tall Men	48691
Top Gun	48734
Violent Saturday	48790
Lola Montès	48308
Francis in the Navy	48092
The Last Command	48287
Cast a Dark Shadow	50233
The Cockleshell Heroes	49083
The Kentuckian	48248
Il Bidone	47876
Untamed	48767
The Cobweb	47944
The Big Knife	47880
The Sea Chase	48593
Conquest of Space	47947
Underwater!	48764
Footsteps in the Fog	48087
House of Bamboo	48182
Daddy Long Legs	47969
There's Always Tomorrow	49843
Queen Bee	48527
Not as a Stranger	48432
Moonfleet	48387
Above Us the Waves	47797
Yôkihi	48820
I'll Cry Tomorrow	48191
Abbott and Costello Meet the Mummy	47795
Devdas	47990
Cesta do praveku	47930
The Phenix City Story	48488
The Tender Trap	48705
Good Morning, Miss Dove	48130
Quentin Durward	48528
Run for Cover	48570
Muerte de un ciclista	48394
The Girl in the Red Velvet Swing	48119
A Man Alone	48336
Captain Lightfoot	47919
White Feather	48805
Fox Fire	48091
Illegal	48199
The End of the Affair	48034
Trial	48748
Stranger on Horseback	48666
Son of Sinbad	48642
The Prodigal	48517
Simba	48620
The Private War of Major Benson	48513
A Man Called Peter	48337
Women's Prison	48811
La donna più bella del mondo (Lina Cavalieri)	48006
A Lawless Street	48289
You're Never Too Young	48822
Cult of the Cobra	47966
Storm Fear	49801
Ensayo de un crimen	48037
The Far Horizons	48056
Tight Spot	48724
Ten Wanted Men	48703
Pearl of the South Pacific	48474
I Died a Thousand Times	48190
Shin Heike monogatari	48610
Pete Kelly's Blues	48484
Mr. & Mrs. '55	48392
Three for the Show	48719
The McConnell Story	48364
La Pointe-Courte	48499
Tarzan's Hidden Jungle	48699
Dementia	47976
Many Rivers to Cross	48350
Man Without a Star	48340
French Cancan	46998
The Naked Street	48412
Istoria mias kalpikis liras	122565
Ukigumo	48757
Gentlemen Marry Brunettes	48111
Hit the Deck	48171
The Man from Bitter Ridge	48341
Three Cases of Murder	47579
Escapade	48043
Smoke Signal	48634
The Beast with a Million Eyes	48991
La bella mugnaia	47871
Hell on Frisco Bay	48158
The Seven Little Foys	48604
Storm Over the Nile	48662
A Kid for Two Farthings	48250
A Life at Stake	47178
The Racers	48531
The Prisoner	48512
Panther Girl of the Kongo	48465
Die Mädels vom Immenhof	48404
