title	idx
The Mighty Ducks	104868
Unforgiven	105695
Così fan tutte	104014
Reservoir Dogs	105236
Basic Instinct	103772
Dracula	103874
Batman Returns	103776
A League of Their Own	104694
Aladdin	103639
The Last of the Mohicans	104691
A Few Good Men	104257
My Cousin Vinny	104952
Scent of a Woman	105323
Wayne's World	105793
The Bodyguard	103855
Death Becomes Her	104070
Alien³	103644
Buffy the Vampire Slayer	103893
Malcolm X	104797
Patriot Games	105112
Twin Peaks: Fire Walk with Me	105665
Home Alone 2: Lost in New York	104431
Dust Devil	104155
A River Runs Through It	105265
Candyman	103919
Braindead	103873
Army of Darkness	106308
Newsies	104990
Praying with Anger	105162
Of Mice and Men	105046
Love Potion No. 9	102343
The Crying Game	104036
The Cutting Edge	104040
Glengarry Glen Ross	104348
Under Siege	105690
Universal Soldier	105698
Chaplin	103939
Pet Sematary II	105128
Howards End	104454
Far and Away	104231
Sister Act	105417
White Men Can't Jump	105812
The Lawnmower Man	104692
Encino Man	104187
Single White Female	105414
School Ties	105327
The Player	105151
Poison Ivy	105156
Jamón Jamón	104545
Juice	104573
Singles	105415
Boomerang	103859
The Power of One	105159
The Hand That Rocks the Cradle	104389
Bad Lieutenant	103759
Yeon-in	101316
Beethoven	103786
C'est arrivé près de chez vous	103905
Sleepwalkers	105428
Cool World	104009
FernGully: The Last Rainforest	104254
Orlando	107756
3 Ninjas	103596
Lethal Weapon 3	104714
Split Second	105459
Sneakers	105435
Honey I Blew Up the Kid	104437
Fortress	106950
Bitter Moon	104779
1492: Conquest of Paradise	103594
El mariachi	104815
Damage	104237
Romper Stomper	105275
Medicine Man	104839
Kurenai no buta	104652
Forever Young	104291
Deep Cover	104073
Pokpoongeui undeok	104181
Radio Flyer	105211
Captain Ron	103924
Unlawful Entry	105699
Evil Toons	99524
Passenger 57	105104
Como agua para chocolate	103994
Jennifer Eight	104549
Hoffa	104427
Lat sau san taam	104684
Strictly Ballroom	105488
Toys	105629
Hellraiser III: Hell on Earth	104409
American Me	103671
Nemesis	107668
Mr. Baseball	104926
Ladybugs	104670
Stay Tuned	105466
Tom and Jerry: The Movie	105616
Raising Cain	105217
That Night	105572
Stop! Or My Mom Will Shoot	105477
Indochine	104507
Noises Off...	105017
Lorenzo's Oil	104756
Memoirs of an Invisible Man	104850
Pure Country	105191
Freejack	104299
Big Girls Don't Cry... They Get Even	101444
Consenting Adults	104006
Honeymoon in Vegas	104438
Trespass	105636
Belle Epoque	103791
Peter's Friends	105130
The Distinguished Gentleman	104114
Mom and Dad Save the World	104905
Final Analysis	104265
Shining Through	105391
The Muppet Christmas Carol	104940
Ging chaat goo si III: Chiu kup ging chaat	104558
Kuffs	104647
HouseSitter	104452
The Thief and the Cobbler	112389
Hero	104412
Light Sleeper	102307
Spiando Marina	111222
Gladiator	104346
Sidekicks	105402
Bébé's Kids	103783
American Heart	103670
Miracle Beach	104879
Class Act	103978
Bob Roberts	103850
Diggstown	104107
Benny's Video	103793
Innocent Blood	104511
Critters 4	101628
Knight Moves	104627
Thunderheart	105585
Husbands and Wives	104466
One False Move	102592
Gas, Food Lodging	104321
Rapid Fire	105219
Dr. Giggles	104139
Straight Talk	105481
South Central	105450
Leap of Faith	104695
Waterland	105790
Meatballs 4	104837
Topâzu	105622
A Stranger Among Us	105483
A Midnight Clear	102443
Doctor Mordrid	104115
Into the West	104522
Seong lung wui	105399
Mo' Money	104897
Conte d'hiver	104008
Christopher Columbus: The Discovery	103962
City of Joy	103976
Doragon bôru Z: Kyokugen batoru!! San dai sûpâ saiyajin	142241
CrissCross	104027
The Mambo Kings	104802
Prelude to a Kiss	105165
The Turning	105660
The Bikini Carwash Company	103812
Once Upon a Crime...	101625
In the Soup	104503
White Sands	105813
Waxwork II: Lost in Time	105792
Chik loh go yeung	109412
Den goda viljan	104350
Double Trouble	104135
Jersey Girl	104550
Narcos	104971
Geumjidoen sarang	105682
Änglagård	105916
Aces: Iron Eagle III	103617
Guncrazy	104377
Munchie	104938
Children of the Corn II: The Final Sacrifice	106557
Map of the Human Heart	104812
The Babe	103747
Folks!	104283
Body Chemistry II: The Voice of a Stranger	103851
The Silencer	105408
Passion Fish	105107
Spotswood	102969
Man Trouble	104804
Xia dao Gao Fei	105851
High Strung	102032
Doragon bôru Z: Gekitotsu!! 100-oku pawâ no senshi-tachi	142237
Night and the City	105001
Mikey	104870
La vie de bohème	105750
Tetsuo II: Body Hammer	105569
Brain Donors	103872
Love Field	104765
The Opposite Sex and How to Live with Them	105063
Mindwarp	100152
Article 99	101371
Rescue Me	107949
Wind	105824
Love Crimes	102340
This Is My Life	105577
Bikini Summer II	103813
Only You	105059
Sleepaway Camp IV: The Survivor	303058
Sun lung moon hak chan	105859
Carry on Columbus	103927
Qing shao nian nuo zha	103935
Wong Fei Hung II: Nam yee tung chi keung	105839
Storyville	105480
Timescape	104362
The Playboys	105150
Out on a Limb	105078
The Waterdance	105789
Mirror Images	102452
The Public Eye	105187
Mr. Saturday Night	104928
The Living End	104745
Don Quijote de Orson Welles	104121
Voor een verloren soldaat	108504
Live Wire	104743
The Burning Moon	103898
The Vagrant	105719
Whispers in the Dark	105811
Jo Jeeta Wohi Sikandar	104561
The Long Day Closes	104753
Mistress	104892
Salt on Our Skin	105306
Year of the Comet	105871
Wong Fei Hung III: Si wong jaang ba	108592
Ruby Cairo	107999
Kickboxer 3: The Art of War	104609
Breaking the Rules	103877
Traces of Red	105631
American Samurai	106258
Long hang tian xia	97775
Zebrahead	105885
Ga yau hei si	104553
Prototype	105183
There Goes the Neighborhood	105573
Simple Men	105411
Les nuits fauves	105032
Anoche soñé contigo	103705
Mission of Justice	104888
Ostinato destino	137142
Roja	105271
Fatal Instinct	101860
Rich in Love	105256
Gojira vs. Mosura	104352
The Lost World	104759
Wet and Wild Summer!	105801
Shôjo tsubaki: Chika gentô gekiga	930902
The Weekend It Lives	349113
Happy Hell Night	236283
Suryavanshi	105500
Balwaan	103763
Hei tai yang 731 xu ji zhi sha ren gong chang	99757
Just Another Girl on the I.R.T.	104575
My New Gun	104954
Il ladro di bambini	104663
Bad Boy II	440075
Body Waves	103854
Yoddha	290937
Blame It on the Bellboy	103827
Seedpeople	105347
Shadow of the Wolf	105377
The Last Days of Chez Nous	104685
Ramayana: The Legend of Prince Rama	259534
Annamalai	139859
Chain of Desire	103936
The Gun in Betty Lou's Handbag	104376
Oh, What a Night	105048
Twogether	105670
Raju Ban Gaya Gentleman	173102
Léolo	104782
Final Impact	104267
Vacas	103186
Illicit Behavior	104485
Yaad Rakhegi Duniya	374342
Blue Ice	103848
Vansh	404537
Meet the Parents	104844
Leaving Normal	104697
Dance with Death	101653
In the Heat of Passion	104499
Heer Ranjha	104404
Three Days to a Kill	101253
Betty	103800
Ruby	105291
Hurricane Smith	99814
Rakuyô	191428
And Life Goes on...	105888
Equinox	104201
La tarea prohibida	105535
Used People	105706
Dudurugin kita ng bala ko	1127785
Zirneklis	193660
Rock and Roll Fantasy	111245
Yalgaar	105866
Deewana	126871
Out of Control	105077
Passed Away	105103
Balanta	103969
Ironheart	104530
Sarafina!	105316
No Place to Hide	105009
Honeymoon	395582
Fifty/Fifty	106902
Sam sei goon	105385
Wo lai zi Bei Jing	108585
Angaar	103689
Immaculate Conception	104489
Prem Deewane	105166
Mi nismo andjeli	104860
Prey of the Chameleon	105169
Raat	266875
Body Puzzle	101493
Dil Aashna Hai (...The Heart Knows)	101732
De noorderlingen	105019
Interceptor	104516
Vishwatma	130350
The Nutt House	105034
Beyond Justice	105175
Just Like a Woman	104576
Ek Ladka Ek Ladki	291883
Uwakizuma: Chijokuzeme	105392
The Unnamable II: The Statement of Randolph Carter	108447
Careful	103926
Gypsy Eyes	104380
Fathers & Sons	104240
Yao shou du shi	105869
La peste	105127
Maximum Force	104831
The Finest Hour	101879
Falling from Grace	104225
El lado oscuro del corazón	104662
Crossing the Bridge	104030
Jie zi zhan shi	102159
The Harvest	107084
Daens	104046
Second Glance	220029
Schtonk	105328
Mo jong yuen So Hat-Yi	100963
Aaj Ka Goonda Raaj	247909
Sundara Kanda	258227
L.627	104658
Swoon	105508
CIA Code Name: Alexa	103907
Bekhudi	172170
Rage and Honor	105212
Freddie as F.R.O.7.	104298
Cin cin	103055
The Naked Truth	104969
Killer Tomatoes Eat France!	102210
Bikini Beach Race	103811
Flodder in Amerika!	104279
Tale of a Vampire	105527
Daulat Ki Jung	172300
Khuda Gawah	104607
Double Threat	104134
Umar 55 Ki Dil Bachpan Ka	407274
Clowning Around	144834
Invader	104525
Roadside Prophets	105267
Lady Dragon	104667
Det skaldede spøgelse	123271
Zipperface	105898
Xiao ao jiang hu: dong fang bu bai	103295
Hold Me Thrill Me Kiss Me	104428
Un lugar en el mundo	104774
Qiu Ju da guan si	105197
Last Dance	102269
Comet in Moominland	240425
Intimate Obsession	104518
Frogtown II	106970
Thevar Magan	105575
Bonnie & Clyde: The True Story	103858
La mansión de los Cthulhu	100108
Police Officer	267830
Olivier, Olivier	102583
Dedictví aneb Kurvahosigutntag	106693
Claire of the Moon	103977
Chechu y familia	103948
Mannan	319813
Hyènes	104467
Sunset Heat	103006
Divertimento	101429
Liao zhai san ji zhi deng cao he shang	104719
Daleun... haega kkuneun kkum	471268
Ha-Chayim Al-Pi Agfa	103945
Söndagsbarn	105511
Panaah	2011178
Ultraviolet	105681
Chekist	103949
Split Infinity	213260
Die Tigerin	105593
Bulevar revolucije	181328
Out for Blood	107762
Mandurugas	385079
Leather Jackets	104696
Dil Hi To Hai	106724
Io speriamo che me la cavo	107225
Deedar	104072
Beta	101437
Roots of Evil	102806
Diên Biên Phú	104105
Auntie Lee's Meat Pies	106323
Netherworld	104987
Fraternity Demon	121297
Turtle Beach	103141
Revenge of Billy the Kid	102783
Back in the U.S.S.R.	103752
Buddy en Sol: Praybeyt depektibs	440164
Tito i ja	105602
Blackbelt	103825
The Turn of the Screw	105659
Psy	105185
Khule-Aam	416890
Suriyan	2845426
Dito sa Pitong Gatang	377791
Radha Ka Sangam	105209
Mac	104783
To hok wai lung 2	105534
IP5: L'île aux pachydermes	104473
Talking Head	386065
Lu ding ji II: Zhi shen long jiao	104771
Bewaffa Se Waffa	149850
Hedd Wyn	104403
Mr. Bond	104927
Shooting Elizabeth	105396
Leon the Pig Farmer	104710
Laws of Gravity	104693
Lotta på Bråkmakargatan	104761
The Legend of Wolf Mountain	104701
Death Mask	87126
Kal Ki Awaz	158694
Deadly Bet	104066
Mere Sajana Saath Nibhana	104854
Body Parts	200497
Dark Horse	104054
Round Trip to Heaven	105289
