title	idx
The Happiest Millionaire	61749
The Graduate	61722
Valley of the Dolls	62430
You Only Live Twice	62512
The Jungle Book	61852
Dance of the Vampires	61655
Cool Hand Luke	61512
Bonnie and Clyde	61418
El Dorado	61619
In the Heat of the Night	61811
Casino Royale	61452
The Dirty Dozen	61578
The Producers	63462
In Like Flint	61810
Belle de jour	61395
Will Penny	63811
Wait Until Dark	62467
Guess Who's Coming to Dinner	61735
Le samouraï	62229
Fathom	61653
I Call First	63803
The Honey Pot	61780
To Sir, with Love	62376
Doctor Dolittle	61584
In Cold Blood	61809
Five Golden Dragons	61670
Don't Make Waves	61590
Bedazzled	61391
Barefoot in the Park	61385
Playtime	62136
Camelot	61439
Point Blank	62138
Jag är nyfiken - en film i gult	61834
Hombre	61770
The Shuttered Room	62266
Thoroughly Modern Millie	62362
Eye of the Devil	61634
The War Wagon	62472
Quatermass and the Pit	62168
Kaijûtô no kessen: Gojira no musuko	61856
Far from the Madding Crowd	61648
Two for the Road	62407
A Countess from Hong Kong	61523
Les demoiselles de Rochefort	62873
The Way West	62479
Da uomo a uomo	64208
Marketa Lazarová	63278
Reflections in a Golden Eye	62185
Viy	62453
The Night of the Generals	62038
La chinoise	61473
Spider Baby or, the Maddest Story Ever Told	58606
Jôi-uchi: Hairyô tsuma shimatsu	61847
The Trip	62395
How to Succeed in Business Without Really Trying	61791
The Born Losers	61420
The Taming of the Shrew	61407
The Ambushers	62657
Hour of the Gun	61787
Edipo re	61613
Mouchette	61996
I giorni dell'ira	61709
Koroshi no rakuin	61882
La collectionneuse	61495
OK Connery	62078
Le streghe	61037
Slave Girls	62150
How I Won the War	61789
The Gnome-Mobile	61715
Woman Times Seven	62502
Deadlier Than the Male	60288
The St. Valentine's Day Massacre	62301
Week End	62480
The Ballad of Josie	61380
Tony Rome	62380
Carry On Doctor	61450
Kingu Kongu no gyakushû	61868
The Incident	61814
A Guide for the Married Man	61736
The President's Analyst	62153
The Viking Queen	62443
Countdown	62827
Hillbillys in a Haunted House	61765
Games	61696
Gunn	61739
A Time for Killing	62373
The Tiger Makes Out	62369
Fitzwilly	61669
Dio perdona... Io no!	61576
Hells Angels on Wheels	61758
Waterhole #3	62477
Horí, má panenko	61781
Frankenstein Created Woman	61683
The Deadly Affair	61556
Berserk	61398
Accident	61328
Poor Cow	62141
Astérix le Gaulois	61369
Billion Dollar Brain	61405
The Million Eyes of Sumuru	61976
Nel sole	138650
Les aventuriers	61376
Quién sabe?	61429
Herostratus	61761
Hurry Sundown	61796
Clambake	61489
Chuka	61477
The Flim-Flam Man	61678
Mad Monster Party?	61931
Half a Sixpence	61742
Oscar	62083
Robbery	62207
Se sei vivo spara	62082
Lo straniero	62310
Rough Night in Jericho	62218
The Comedians	61502
Tobruk	62377
Le plus vieux métier du monde	62137
The Fox	62990
Good Morning... and Goodbye!	61719
2 ou 3 choses que je sais d'elle	60304
It!	61826
C'era una volta	61433
The Reluctant Astronaut	62190
Torture Garden	62384
La vingt-cinquième heure	62445
Diaboliquement vôtre	61568
Faccia a faccia	61636
Bersaglio mobile	61397
The Happening	61748
The Spirit Is Willing	62298
Easy Come, Easy Go	61610
Up the Down Staircase	62425
Hamraaz	61744
Skupljaci perja	62277
Night of the Big Heat	62037
Il tigre	62370
Hot Rods to Hell	61784
...4 ..3 ..2 ..1 ...morte	63859
Elvira Madigan	61620
Les risques du métier	62204
Good Times	61720
Le voleur	62457
Caprice	61447
They Came from Beyond Space	62360
The Mummy's Shroud	62006
Double Trouble	61595
Vado... l'ammazzo e torno	62429
Thunder Alley	62365
Don't Lose Your Head	60330
The Exchange Student	60475
How Much Loving Does a Normal Couple Need?	61504
Dragon Inn	60635
Follow That Camel	61680
Du bei dao	61597
****	179184
Divorce American Style	61581
Le scandale	60944
The Double Man	61594
1 homme de trop	62416
I'll Never Forget What's'isname	61801
Luv	61927
Our Mother's House	62089
The Last Challenge	61893
Col cuore in gola	61493
La cintura di castità	64167
Shagird	306065
À coeur joie	62534
Csillagosok, katonák	61537
L'avventuriero	61377
Die Schlangengrube und das Pendel	62235
The Long Duel	61916
The Adventures of Bullwhip Griffin	61333
Fantômas contre Scotland Yard	60400
Terra em Transe	62352
Danger Route	62860
The Big Mouth	61401
Privilege	62155
I crudeli	60261
Custer of the West	62844
Doctor Faustus	62898
Jewel Thief	61842
40 Guns to Apache Pass	60048
Mord und Totschlag	61992
The Penthouse	62112
Ulysses	62414
Milan	61974
The Sorcerers	62292
Doctor, You've Got to Be Kidding!	61585
The Nude Restaurant	62055
Monkeys, Go Home!	61989
The Naked Runner	62029
I lunghi giorni della vendetta (Faccia d'angelo)	60641
Beach Red	61389
It's a Bikini World	61827
Hotel	61786
Wavelength	127354
Marat/Sade	60668
The Vengeance of Fu Manchu	63764
Volshebnaya lampa Aladdina	167482
L'uomo, l'orgoglio, la vendetta	62424
The Fastest Guitar Alive	61652
Vivre pour vivre	62452
Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad	62067
Warning Shot	62473
The Plank	62133
Ad ogni costo	62636
The Whisperers	61180
Requiescant	63500
A Taste of Blood	62345
Westerplatte	62485
Banning	61383
The Day the Fish Came Out	61553
Le vieil homme et l'enfant	63771
Pretty Polly	61960
Eight on the Lam	61617
Maroc 7	61956
Smashing Time	62281
Who's Minding the Mint?	62490
Welcome to Hard Times	62482
Taqdeer	165973
Enter Laughing	61626
Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika	60584
Il raggio infernale	62035
Matchless	60676
Peppermint Frappé	62113
The Glory Stompers	61714
Battle Beneath the Earth	61387
Devil's Angels	61565
Stimulantia	62306
Mädchen, Mädchen	163759
The Spy in the Green Hat	61020
Tarzan and the Great River	62341
Something Weird	62288
The White Bus	61181
The Jokers	60566
Bike Boy	61403
Dalle Ardenne all'inferno	62855
Taekoesu Yonggary	61549
I giorni della violenza	61710
Esta Noite Encarnarei no Teu Cadáver	60380
Fearless Frank	61654
Bahu Begum	139048
The Bobo	61414
Daikyojû Gappa	61550
She Freak	62259
Muri shinjû: Nihon no natsu	62009
Blood of Ghastly Horror	68291
Charlie, the Lonesome Cougar	62793
Gallery of Horror	62193
Rosie!	63523
Journey to the Center of Time	61850
Riot on Sunset Strip	62203
Athey Kangal	457781
Voitheia o Vengos, faneros praktor '000'	123313
The Gruesome Twosome	61733
Un homme à abattre	62633
Stranger in the House	61515
A ciascuno il suo	61320
La casa de las mil muñecas	61451
Patthar Ke Sanam	176012
An Evening in Paris	74503
Un dollaro tra i denti	60325
The Terrornauts	62355
Noorjehan	139502
Danny the Dragon	279763
48 Stunden bis Acapulco	61315
Okasareta hakui	62069
Night Fright	62036
Zatôichi chikemuri kaidô	63834
Wanted	62047
The Love-Ins	61922
Anna Karenina	61359
Indomptable Angélique	61819
Snezhnaya koroleva	254782
Catalina Caper	61456
La isla de la muerte	59215
The Cape Town Affair	61445
Le départ	61605
Come rubare la corona d'Inghilterra	61500
La Cina è vicina	61483
Gentleman Jo... uccidi	63008
Kad budem mrtav i beo	61855
The Perils of Pauline	62117
Martha	61957
Mosby's Marauders	7000522
The Karate Killers	61858
The Sex Killer	138094
Africa: Texas Style	61334
Bill il taciturno	61404
Bandidos	62706
Midaregumo	61971
Upkar	146335
Un uomo, un cavallo, una pistola	63747
Mini-Skirt Love	61980
A Covenant with Death	61525
Komissar	61876
Uchû daikaijû Girara	62411
Questi fantasmi	63480
Farz	61650
The Touch of Her Flesh	62385
She-Man: A Story of Fixation	183766
Konec srpna v Hotelu Ozon	61879
Grihadaha	378002
Gungala la vergine della giungla	178543
David Holzman's Diary	62864
Hostile Guns	61783
Cjamango	165688
The Sailor from Gibraltar	62225
Nihon no ichiban nagai hi	62041
Chiriyakhana	61474
Nihon shunka-kô	62042
Troppo per vivere... poco per morire	62397
Pedro Páramo	62108
Cervantes	60227
The Busy Body	61431
Daikaijû kûchûsen: Gamera tai Gyaosu	61695
Balika Badhu	465904
Happy End	61029
Ljubavni slucaj ili tragedija sluzbenice P.T.T.	61912
Theatre of Death	62358
Carmen, Baby	61448
80 te Asio Na	4213178
The Wild Rebels	62493
Jules Verne's Rocket to the Moon	62363
Goodachari 116	262444
Hot Thrills and Warm Chills	61785
Jack of Diamonds	61831
Breza	66862
Los caifanes	60201
Die blaue Hand	61409
Attentato ai tre grandi	61693
Ram Aur Shyam	62177
Return of the Gunfighter	62194
The Jackals	61832
Spring Night, Summer Night	247527
Sami swoi	62228
Voyna i mir IV: Pierre Bezukhov	62456
Der Mönch mit der Peitsche	62022
First to Fight	61667
The Cool Ones	61514
Chubasco	62805
Tammy and the Millionaire	62334
The Bandits	61382
The Brick Dollhouse	131986
Arabella	61365
Gentle Giant	61703
A Challenge for Robin Hood	62787
Latt Saheb	318391
Feuer frei auf Frankie	58356
Dick Smart 2.007	61570
Zinda Laash	360232
The Sex Cycle	60966
Budjenje pacova	61428
The Money Jungle	63322
The Ride to Hangman's Tree	62198
Raaz	206238
The Naked Witch	132354
Minagoroshi no kenjû	2263942
I fantastici 3 $upermen	61646
Chingachgook, die grosse Schlange	202832
Non aspettare Django, spara	63364
Creature of Destruction	61529
The King's Pirate	61867
Shanty Tramp	60968
Bikini Paradise	58970
Kôya no Dacchi waifu	201716
Blast-Off Girls	61408
La morte non conta i dollari	61995
Gunfight in Abilene	61738
Kommissar X - Drei grüne Hunde	61878
Hell on Wheels	61757
Susanne, die Wirtin von der Lahn	62499
Geheimnisse in goldenen Nylons	61701
Red Tomahawk	62182
Vlci bouda	90271
Una rosa per tutti	62216
Incompreso (Vita col figlio)	60538
Bhakta Prahlada	247203
Nezabyvaemoe	174984
Die Nibelungen, Teil 2 - Kriemhilds Rache	60750
L'ultimo killer	62413
Die Hölle von Macao	61800
7 winchester per un massacro	63587
The Hardy Boys: The Mystery of the Chinese Junk	202490
Zatôichi rôyaburi	62518
Théâtre de Monsieur & Madame Kabal	62366
Lucky, el intrépido	61339
Babye tsarstvo	174482
Koruto wa ore no pasupooto	330536
Anita	231150
10,000 dollari per un massacro	61313
L'immorale	61808
Baharon Ke Sapne	61378
I a Man	220569
Dulhan Ek Raat Ki	212123
Il padre di famiglia	63406
The Longest Hundred Miles	61917
Zatôichi tekka tabi	186725
Professionisti per un massacro	62157
Su excelencia	61038
L'harem	63042
Raat Aur Din	156923
Sangre de vírgenes	62231
Jab Yaad Kisi Ki Aati Hai	369595
Neulovimye mstiteli	60747
Chhoti Si Mulaqat	61467
Jeu de massacre	61841
Kapote klaine kai oi dynatoi	136280
Le vicomte règle ses comptes	62441
Joe l'implacabile	61572
Fort Utah	62989
Flashman	61676
La route de Corinthe	63526
The Last Safari	61894
Nawab Sirajuddaula	249836
Jôen	202415
O Menino e o Vento	144304
Den røde kappe	63531
Tumannost Andromedy	278781
La più grande rapina del west	62130
Cottonpickin' Chickenpickers	61522
La blonde de Pékin	61410
Patapufete!	62103
Diwana	62897
La chica del lunes	61468
Operazione San Pietro	61324
Venus in Furs	62434
The Heroine	7350968
Iyulskiy dozhd	171408
Aurat	61370
Il tempo degli avvoltoi	62350
Voyna i mir III: 1812 god	62455
Kill a Dragon	180781
Two a Penny	140642
La mujer de mi padre	62004
Hugo och Josefin	61793
The Caper of the Golden Bulls	60209
Sei no hôrô	2537776
Antony Firingee	317088
Come Spy with Me	61498
Skrållan, Ruskprick och Knorrhane	62276
A Witch Without a Broom	61426
Jiban mrityu	1253578
Jûichinin no samurai	123127
Korotkie vstrechi	61883
La feldmarescialla	61656
Ti ho sposato per allegria	62367
Ave Kallu	371554
Le soleil des voyous	61000
La ragazza e il generale	62174
Mister X	60706
Mehrban	61963
Colpo maestro al servizio di Sua Maestà britannica	60249
Tub Girls	495909
La morte viene dal pianeta Aytin	59104
Killer calibro 32	61865
The Hookers	219808
L'inconnu de Shandigor	61815
Teenage Mother	61071
Pähkähullu Suomi	62165
L'occhio selvaggio	62063
Hare Kanch Ki Chooriyan	268349
Three Bites of the Apple	62364
Oi voskoi	61084
Kontserto gia polyvola	136346
Panna zázracnica	133142
Qin jian en chou	60524
The Violent Ones	62448
Sexy Gang	195253
Mister Dynamit - Morgen küßt euch der Tod	61982
Il cobra	62810
Kanchukota	261770
Vedreba	64680
Soleil Ô	62285
Pecos è qui: prega e muori!	62107
15 forche per un assassino	63482
Chijin no ai	182892
El dedo del destino	61559
Ballata per un pistolero	61381
Entre la mer et l'eau douce	61627
Lola Colt	157936
Santo el Enmascarado de Plata vs 'La invasión de los marcianos'	60938
Sept hommes et une garce	141817
La sfinge d'oro	62257
Lusting Hours	242625
Jaal	349634
The Winter's Tale	63820
La musica	60731
Dil Ne Pukara	175566
Spia spione	61889
7 pistole per un massacro	60068
Operacion 67	208334
Il fischio al naso	61668
Kandan Karunai	192198
Far laver sovsen	123834
Zhenya, Zhenechka i 'Katyusha'	62523
C'mon, Let's Live a Little	61434
The One Eyed Soldiers	223839
Ukradená vzducholod	62412
Makedonska krvava svadba	179957
SOS Conspiracion Bikini	242830
Mise à sac	176999
Sri Krishnavataram	263997
Shônen Jakku to Mahô-tsukai	62260
Las que tienen que servir	61892
Bang Bang	205763
Chand Par Chadayee	61463
Il giardino delle delizie	61706
Mister Ten Per Cent	60705
Praznik	181772
Island of the Lost	61824
El desperado	61563
Da ci ke	61547
El pistolero desconocido	282847
Roseanna	62217
Palki	232260
Johnny Banco	61845
Il figlio di Django	61664
A koppányi aga testamentuma	61881
I, Marquis de Sade	220568
The Girl with the Hungry Eyes	137706
Le grand Meaulnes	64389
Around the World	61366
Peau d'espion	62106
Tiffany memorandum	211040
Lamiel	139417
Majhli Didi	139447
Erotic Salad	6409754
Rustom Sohrab	133188
J'ai tué Raspoutine	61829
Svadba v Malinovke	62323
Hra bez pravidel	240590
Tarzan's Jungle Rebellion	59783
Människor möts och ljuv musik uppstår i hjärtat	62020
Hermann der Cherusker - Die Schlacht im Teutoburger Wald	144962
Un hombre y un colt	61776
Aman	233193
The Ernie Game	60375
Killer Kid	269443
Toutes folles de lui	62387
The Legend of the Boy and the Eagle	61904
Kyôretsu na... Aoi ana	2321332
Aamne - Saamne	178181
Estouffade à la Caraïbe	60381
Mali vojnici	66046
LSD - Inferno per pochi dollari	183384
Qualcuno ha tradito	62167
El hombre que mató a Billy el Niño	61775
Psychedelic Sex Kicks	2152802
Garota de Ipanema	61697
Las mujeres panteras	132340
Sex Club International	147455
Anything for Money	60113
Die Heiden von Kummerow und ihre lustigen Streiche	61755
Nyhta gamou	136440
The Hostage	61782
Clint el solitario	59042
Some May Live	62287
Fai in fretta ad uccidermi... ho freddo!	60391
Pan si dong	405250
Un hombre vino a matar	63746
Der Mörderclub von Brooklyn	62024
Batman Fights Dracula	61386
El romance del Aniceto y la Francisca	62212
Al-zawja al-thaniya	62519
The Young Warriors	62516
The Degenerates	216679
De cuerpo presente	59088
Himegoto	287478
Un idiot à Paris	155755
El amor brujo	61350
Night in London	158026
Tízezer nap	59838
Dorei mibôjin	128167
Keluarga 69	288590
Det største spillet	62313
Arrriva Dorellik	62677
Une femme aux abois	141935
3 pistole contro Cesare	61117
The Magnificent Two	61938
28 minuti per 3 milioni di dollari	61314
Buckaroo (Il winchester che non perdona)	62763
Posalji coveka u pola dva	180921
Memento	182313
Les compagnons de la marguerite	60254
Don Giovanni in Sicilia	150369
The Clown and the Kids	62809
Duan chang jian	60350
Bama Vijayam	154197
Hell Is Empty	60499
A Taste of Flesh	62346
Gunahon Ka Devta	219071
Track of Thunder	63710
La vuelta del Mexicano	251467
A Good Time with a Bad Girl	139258
Kristove roky	61884
Bang Bang Kid	62709
To prosopo tis Medousas	232480
Devilman Story	166572
Boond Jo Ban Gayee Moti	175497
Tätowierung	62408
Just Like a Woman	222089
The Desperate Ones	62877
Der Sarg bleibt heute zu	62801
Diverzanti	172329
Professor Lust	242226
Dio non paga il sabato	61575
For Love and Money	129097
Katz und Maus	60583
Mga alabok sa lupa	353733
Calamity the Cow	61437
Playgirl Killer	65624
Bikini Beach Party	400226
Omicidio per appuntamento	62073
Hoor My Lied	2022422
A Margem	144295
The Man Outside	61948
Alle Jahre wieder	61346
Mon amour, mon amour	61986
The Equinox... A Journey Into the Supernatural	7131660
Depraved!	216681
Jutro	61854
El camino de los espantos	59010
Con la muerte a la espalda	60364
Ninaivil Nindraval	1815850
Assalto al tesoro di stato	185891
Akuma no niwa	6389716
La peur et l'amour	60828
The House of the Seven Gables	300003
Kokusai himitsu keisatsu: Zettai zetsumei	61875
Kilink Istanbul'da	292053
Kiba Ôkaminosuke: jigoku giri	199681
Shusse komori-uta	6646294
The Promiscuous Sex	235549
Sor Citroen	62290
Monsieur Lecoq	3630886
Saibogu 009: Kaijû senso	62224
En la selva no hay estrellas	61622
Un dorado de Pancho Villa	60334
Oi sfaires den gyrizoun piso	136527
Návrat ztraceného syna	60770
Livet är stenkul	61911
Skazka o tsare Saltane	174207
Aru koroshi ya	220315
Odio per odio	62065
El barón Brakola	56855
Amor en el aire	61351
Paranoia	62096
Le due facce del dollaro	169817
¿Qué hacemos con los hijos?	62533
The Wacky World of Mother Goose	62466
Elpojiet dzili	1296154
Un italiano in America	61828
El padre Manolo	60811
Il magnifico Texano	61571
Zmluva s diablom	62525
Dolgaya schastlivaya zhizn	271467
Speed Racer: The Movie	2201050
La loi du survivant	196709
Lav-Kush	824355
The Adolescent	122867
Herrliche Zeiten im Spessart	61762
The Love Rebellion	59407
The Christmas Kid	61844
The Illiac Passion	136261
La grande sauterelle	61729
La piel quemada	62121
Supercolpo da 7 miliardi	209390
Romance pro kridlovku	60910
The Sky Bike	189095
Nato per uccidere	62030
John il bastardo	181613
Das Rasthaus der grausamen Puppen	122222
Gange Gowri	250400
Le viol	62447
Frontera al sur	61688
Aag	175420
Jokosei no zekkyô	2377188
Cinq gars pour Singapour	62976
L'uomo del colpo perfetto	63745
Nai Roshni	372448
Naunihal	425287
L'horizon	238282
I diamanti che nessuno voleva rubare	62887
Zhurnalist	62524
Utószezon	61146
Encrucijada para una monja	61623
Las aventuras de Juan Quin Quin	61374
Io non protesto, io amo	61822
Codo con codo	61492
Segretissimo	60961
Tre mand frem for en trold	62221
Il lungo, il corto, il gatto	61925
Mr. Mari's Girls	126466
Noc nevesty	62048
Makchalo on sannimdeul	323153
Run Swinger Run!	147299
Xiang jiang hua yue ye	387695
Los guardiamarinas	60480
Assassination	61367
The Girl, the Body, and the Pill	61712
El magnifico extranjero	368852
Satsujin kyôjidai	62232
Kilink soy ve öldür	392276
Fleur d'oseille	175615
My Body Hungers	57240
Shlosha Yamim Veyeled	138100
Wahan Ke Log	155370
Mañana será otro día	60685
Come rubammo la bomba atomica	61499
7 donne per i Mac Gregor	62251
Chanoc	282411
Bomba u 10 i 10	179687
Sweet Love, Bitter	62325
Elsk... din næste!	129056
Goldface il fantastico Superman	64375
Funnyman	179189
Chandan Ka Palna	139107
Sasaki Kojiro	61874
El enigma del ataúd	60373
La traviata	181867
In the Country	226821
Jeg - en marki	61837
Come Ride the Wild Pink Horse	60252
Mabodet el gamahir	205241
Si j'étais un espion	183779
Las amiguitas de los ricos	62658
Heisses Pflaster Köln	173895
Mahlzeiten	60653
Ninja bugei-chô	62044
Madhuchandra	258775
Amor a la española	60102
Dove si spara di più	148086
Chakori	251630
Seis días para morir	180136
I'll See You in September	1182283
Hentaima	210096
Un tipo dificil de matar	258255
Juego peligroso	60571
Coplan ouvre le feu à Mexico	60374
De filosoof van Haeghem	231586
Il bello, il brutto, il cretino	122398
Zoku akutokui: Joi-hen	203663
Le grand dadais	61727
Hell of Borneo	60500
Wenn es Nacht wird auf der Reeperbahn	62484
Mundo depravados	62008
La isla de los dinosaurios	128279
Eine Handvoll Helden	61746
Nemirni	180005
Protest	207027
Diary of a Swinger	135921
Assicurasi vergine	171078
Nachalo nevedomogo veka	62026
Puss & kram	62163
Clovek a jeho dum	782135
Due croci a Danger Pass	62904
Takoy bolshoy malchik	61061
Akhtar ragol fil alam	191771
Milan Ki Raat	351354
Mucedníci lásky	60718
Hatim Tai	1538293
Largo Viaje	61891
Qué hombre tan sin embargo	282109
Per amore... per magia...	62115
L'homme qui valait des milliards	61778
The Search for the Evil One	237709
Kurenai no nagareboshi	160439
Almaas 33	60093
Ovishap	6154978
The Magic Land of Mother Goose	61936
Wanted Johnny Texas	62470
Otklonenie	166894
A suon di lupara	62631
Elvira Madigan	5930074
Seguiré tus pasos	282949
Pattanathil Bhootham	259492
Honô to onna	61675
The Mini-Affair	247522
El rostro del asesino	59659
C.I.D. 909	175508
The Violent Enemy	63781
Privarzaniyat balon	166770
Jowita	61851
La lunga sfida	62912
Kilink uçan adama karsi	311396
Spiked Heels and Black Nylons	258201
Kaja, ubit cu te!	64531
Occhio per occhio, dente per dente	62878
Liebesnächte in der Taiga	61908
Fruits amers - Soledad	223322
To pio labro asteri	136465
Pyretos stin asfalto	136481
Nayika Sangbad	151728
Ghar Ka Chirag	497376
The Weird World of LSD	62481
Der tapfere Schulschwänzer	257217
Ballata da un miliardo	156321
Ying xiong ben se	193645
Sihirbazlar Krali Mandrake Killing'in pesinde	292093
Min søsters børn på bryllupsrejse	61978
Agente Sigma 3 - Missione Goldwather	61337
Hipnos follia di massacro	178604
The Adventures of Busty Brown	173620
Bokseri idu u raj	179684
Mördaren - en helt vanlig person	62023
Le dimanche de la vie	218158
Didi mtsvane veli	274462
Noz	62054
Chhaila Babu	231353
Come rubare un quintale di diamanti in Russia	64205
O Caso dos Irmãos Naves	139927
Operación Dalila	58433
Ince Cumali	277031
Chhuti	213554
Cool It Baby	61513
Alamat ng 7 kilabot	411089
Un poker di pistole	62139
Die wang jiao wa	1293761
Katerina Izmailova	122128
Zoku shachô senichiya	318198
Hatey Bazarey	61753
Ekeinos ki ekeini	136133
Un millón en la basura	61977
Dobar vetar 'Plava ptico'	238180
Hum Do Daku	233898
El halcón de Castilla	59249
Zlatna pracka	181185
Der Paukenspieler	62105
Peace for a Gunfighter	210222
Iluzija	61804
Arrullo de Dios	250220
Sürtügün Kizi	260404
The Troublesome Double	290325
La donna, il sesso e il superuomo	172346
Voltati... ti uccido!	63813
Imitation of Christ	207531
Hu Halach B'Sadot	139370
Ego zvali Robert	62508
Abhishapta Chambal	456272
Ervinka	133748
Namida gawa	459910
The Mikado	61973
Nemuri Kyôshirô burai-hikae: Mashô no hada	148930
Dubravka	346910
Bhama Vijayam	254996
Fast ein Held	61325
Fanny Hill Meets Dr. Erotico	129921
Zani be-name-Sharab	293717
Khan el khalili	275452
Non stuzzicate la zanzara	62050
Il ragazzo che sapeva amare	197806
Toppo Jîjo no botan sensô	62382
Insaniyat	1538309
I sovversivi	62293
Escándalo en la familia	61629
Don Juan 67	60328
Kasr El Shawk	203613
El hombre de Caracas	61517
Al ponerse el sol	61342
Girl Smugglers	4180370
Con lui cavalca la morte	150180
Kanunsuz kahraman - Ringo Kid	183335
Último encuentro	61228
Chadarangam	260789
Vystrel	62464
Quando dico che ti amo	145420
Hanaoka Seishû no tsuma	140093
Kati kourasmena palikaria	136284
No President	164117
O monahikos naftis kai to koritsi	256820
Crne ptice	61530
Geroy nashego vremeni	174680
Naan	2215343
Yakuza bozu	188295
Shabab magnoun geddan	207727
Los alegres Aguilares	281559
Ah! Afti i gynaika mou	135756
Mamaia	228561
What Am I Bid?	62487
El imperio de Drácula	128266
File X for Sex: The Story of the Perverted	212155
Journey Out of Darkness	61849
Le fou du labo IV	131401
Koraci kroz magle	179923
Smukke-Arne og Rosa	124130
I Was a Man	190473
Rishta Hai Pyar Ka	395258
Zärtliche Haie	62530
Shen jian zhen jiang hu	186540
The Professor and the Beauty Queen	403431
Onna tobakushi	204519
Onkel Joakims hemmelighed	62057
Woh Koi Aur Hoga	176327
The Sweet and the Bitter	295649
L'une et l'autre	62420
The Bachelor's Dreams	123398
Los adolescentes	294268
Hazukashii gikô	287472
Turlis Abenteuer	62400
Jeudi on chantera comme dimanche	252568
Women of Desire	261425
Työmiehen päiväkirja	134169
Paarungen	62091
Jungfrau aus zweiter Hand	60575
O Salto	63535
Bhakta Prahlada	247204
Nihon bôkô ankokushi: Ijôsha no chi	291382
Las cicatrices	61479
Ooty Varai Uravu	1248983
Frau Venus und ihr Teufel	61685
Liefdesbekentenissen	61909
Chuan	185232
Quiere casarse conmigo...?!	62532
Casse-tête chinois pour le judoka	61454
Jaguár	61835
Ven a cantar conmigo	61150
Chieko-sho	61471
Oi thalassies oi hantres	136559
Caxambu!	125035
Dalahoo	5376718
Le mur	189772
Angae	325003
La Venus maldita	281341
Strange Rampage	62308
El ABC del amor	62049
Ezek a fiatalok	61635
Dante no es únicamente severo	61551
Sözde kizlar	259592
Vampir, Zan-e khoon-asham	495778
Nachalnik Chukotki	169069
Rheinsberg	62197
La malédiction de Belphégor	169465
Der sanfte Lauf	62230
Las pirañas	62129
Te jing 009	452423
Placer sangriento	62132
Crónica de nueve meses	61535
Bränt barn	61427
Les Arnaud	186827
Lotosblüten für Miss Quon	218119
Pronto... c'è una certa Giuliana per te	171669
Death of a Nymphette	293078
Begushchaya po volnam	61393
Countdown to Danger	182016
La señora del intendente	62256
Philcag in Vietnam	1136914
The Andy Warhol Story	364945
Las 4 bodas de Marisol	61540
Gingakei	239429
Pet holek na krku	122654
Honenuki	133571
Karaoglan - Yesil ejder	277067
Shichinin no yajû	8287448
Kurzer Prozeß	64557
Der Lügner und die Nonne	61930
Cara a Cara	181996
Hirçin kadin	431120
Das große Glück	61732
La niña del patio	62045
Eden Cried	2088761
Play-Boy	62135
7 Phra kan	10498656
Mahashweta	244638
Haci Murat	431104
Indulekha	256097
Konec agenta W4C prostrednictvím psa pana Foustky	126985
Die gefrorenen Blitze	61700
Liv	216884
O ahortagos	135757
La perra	62119
Juego de mentiras	213752
Ola & Julia	62070
Sardar	242853
Da Berlino l'apocalisse	290174
Anubhavam Pudumai	1426990
Des garçons et des filles	154391
Shishim Sha'ot L'Suetz	138099
40 grados a la sombra	61539
Bana kursun islemez	429640
Operación cabaretera	62077
Crisol	281748
Si muore solo una volta	62267
Bill Wallace of China	439468
Erotes sti Lesvo	136163
Nezhnost	196149
Colpo doppio del camaleonte d'oro	159321
Du mou dans la gâchette	211343
Sri Sri Sri Maryada Ramanna	290871
Tom Dollar	166380
Jeg er sgu min egen	61838
Los chicos del Preu	61470
Les têtes brûlées	62772
La ragazza del bersagliere	197801
Der Tod eines Doppelgängers	253820
Mat bond	277820
Buenos días, condesita	60193
I due vigili	150415
Stasera mi butto	62305
Chikkadu Dorakadu	854121
Israel	145003
The Cuckoo Patrol	195619
Na Mira do Assassino	259450
L'authentique procès de Carl-Emmanuel Jung	60139
Hayeon ggamagwi	308360
999 Aliza Mizrahi	133330
Guan shi yin	184537
Silnye dukhom	62272
Charkh-e falak	5797570
Trellos, palavos kai Vengos	184964
All Over the World	400152
Massacre pour une orgie	143628
Brigitta	211996
Starshaya sestra	61028
Domani non siamo più qui	61588
20.000 dollari sul 7	62621
L'homme qui trahit la mafia	61438
Joshiryô	219106
Pension Clausewitz	62111
Bed of Violence	60156
Lapualaismorsian	121853
Meng mian da xia	211513
Lamboo in Hong Kong	156724
Due rrringos nel Texas	61600
Rio Blanco	62202
Los celos y el duende	60224
Nenjirukumvarai	1431119
Nevidni bataljon	180869
El mundo loco de los jóvenes	282763
Lolites tis Athinas	232000
Hinin kakumei	215847
Bakuha 3-byô mae	321368
El milagro del cante	60696
