title	idx
West Side Story	55614
Breakfast at Tiffany's	54698
Two Rode Together	55558
The Guns of Navarone	54953
Splendor in the Grass	55471
One Hundred and One Dalmatians	55254
The Parent Trap	55277
The Hustler	54997
Judgment at Nuremberg	55031
Yôjinbô	55630
The Misfits	55184
The Innocents	55018
I tartari	56558
The Last Sunset	55073
Flower Drum Song	54885
One-Eyed Jacks	55257
Mysterious Island	55207
El Cid	54847
Five Golden Hours	54877
La notte	54130
The Children's Hour	54743
Såsom i en spegel	55499
Une femme est une femme	55572
One, Two, Three	55256
Pit and the Pendulum	55304
L'année dernière à Marienbad	54632
Double Bunk	54820
Blue Hawaii	54692
Babes in Toyland	54649
A Raisin in the Sun	55353
Il colosso di Rodi	54756
King of Kings	55047
Lover Come Back	55100
Pocketful of Miracles	55312
The Comancheros	54757
Master of the World	55152
Viridiana	55601
Murder She Said	55205
The Second Time Around	55421
Guns of the Trees	58168
Barabbas	55774
The Absent Minded Professor	54594
A Taste of Honey	55506
The Roman Spring of Mrs. Stone	55382
Come September	54759
Divorzio all'italiana	55913
The Ladies Man	55069
The Curse of the Werewolf	54777
Don't Bother to Knock	55621
The Day the Earth Caught Fire	54790
Homicidal	54988
The Phantom Planet	55294
Paris Blues	55278
The Long and the Short and the Tall	54037
A Weekend with Lulu	56683
Taste of Fear	55505
Accattone	54599
Victim	55597
Madison Avenue	56209
Gorgo	54938
Tintin et le mystère de la Toison d'Or	55526
Whistle Down the Wind	55618
Voyage to the Bottom of the Sea	55608
Lola	55093
Night Tide	55230
The Deadly Companions	54795
Reptilicus	56405
Carry on Regardless	54727
Goodbye Again	54936
Mr. Sardonicus	55200
Le vergini di Roma	55590
Town Without Pity	55539
Romolo e Remo	57460
The Honeymoon Machine	54989
Mosura	55198
The Naked Edge	55214
The Young Savages	55633
The Rebel	55361
Gidget Goes Hawaiian	54923
Wild in the Country	55623
Katok i skripka	53987
Atlantis: The Lost Continent	54642
The Happy Thieves	56057
Léon Morin, prêtre	55082
Bachelor Flat	54651
The Devil at 4 O'Clock	54805
Parrish	55279
Back Street	54653
Ningen no jôken	55233
The Breaking Point	173695
Paris nous appartient	54156
Underworld U.S.A.	55571
Blast of Silence	54687
Greyfriars Bobby: The True Story of a Dog	54944
Nude on the Moon	56293
The Silent Call	55449
The Beast of Yucca Flats	54673
The Outsider	55270
La guerra di Troia	56042
Very Important Person	55593
Plácido	55310
Bachelor in Paradise	54652
Summer and Smoke	55489
La ragazza con la valigia	54225
Francis of Assisi	54892
The Errand Boy	54853
The Canadians	54715
The Terror of the Tongs	55516
Dentist on the Job	54798
Kohayagawa-ke no aki	55052
Creature from the Haunted Sea	54768
Posse from Hell	55318
Diary of a Nudist	54809
Cry for Happy	54772
Maciste, l'uomo più forte del mondo	55117
Teen Kanya	55508
A Thunder of Drums	55524
Fanny	54866
The Greengage Summer	55098
Sail a Crooked Ship	55394
Matka Joanna od Aniolów	55153
Gun Fight	54951
Il posto	55320
Il ladro di Bagdad	54013
Pirates of Tortuga	55302
Poeten og Lillemor i forårshumør	122663
Operation Eichmann	55261
Romanoff and Juliet	55383
Too Late Blues	55534
I Aliki sto Naftiko	179634
Snow White and the Three Stooges	55458
The Frightened City	54898
The Singer Not the Song	54740
All in a Night's Work	54615
Kaidan Oiwa no borei	122564
La bride sur le cou	54700
Polosatyy reys	56357
What a Carve Up!	56285
Antigoni	55375
Tammy Tell Me True	55503
Battle at Bloody Beach	54671
Dangerous Afternoon	181437
La viaccia	56657
Cash on Demand	54731
The Young Ones	55626
Susan Slade	55490
The Connection	54763
Le meraviglie di Aladino	55178
Ercole al centro della Terra	54850
The Pleasure of His Company	55307
Something Wild	55464
Kabuliwala	55039
Sanctuary	55402
On the Fiddle	55262
Maciste contro il vampiro	55115
Buta to gunkan	54709
The Mask	55151
Ring of Fire	55374
La pyramide humaine	196879
Gunga Jumna	54910
Il pianeta degli uomini spenti	54950
Vechera na khutore bliz Dikanki	57637
Atlas	53610
