title	idx
Giant	49261
The Ten Commandments	49833
The Searchers	49730
The King and I	49408
Forbidden Planet	49223
The Killing	49406
The Bad Seed	48977
Moby Dick	49513
The Man Who Knew Too Much	49470
Lust for Life	49456
The Last Wagon	49434
Gaby	49247
Invasion of the Body Snatchers	49366
Around the World in 80 Days	48960
Baby Doll	48973
The Werewolf	49944
High Society	49314
War and Peace	49934
Picnic	48491
Bus Stop	49038
The Conqueror	49092
Somebody Up There Likes Me	49778
Jubal	48233
A Day of Fury	49126
Et Dieu... créa la femme	49189
Three Violent People	49849
Love Me Tender	49452
The Wrong Man	51207
Earth vs. the Flying Saucers	49169
The Fastest Gun Alive	49201
Helen of Troy	49301
1984	48918
Carousel	49055
Port Afrique	49627
Written on the Wind	49966
The Swan	49815
Trapeze	49875
Private's Progress	49637
The Harder They Fall	49291
Un condamné à mort s'est échappé ou Le vent souffle où il veut	49902
Anastasia	48947
Friendly Persuasion	49233
Indestructible Man	49363
The First Traveling Saleslady	49212
It Conquered the World	49370
Three Men in a Boat	49847
The Last Man to Hang	49433
The Man Who Never Was	49471
The Proud Ones	49639
Aparajito	48956
Godzilla, King of the Monsters!	197521
Patterns	49601
The Teahouse of the August Moon	49830
The Mole People	49516
The Rainmaker	49653
7 Men from Now	49743
The Brave One	49030
Bigger Than Life	49010
The Man in the Gray Flannel Suit	49474
Tea and Sympathy	49829
The Battle of the River Plate	48990
While the City Sleeps	49949
World Without End	49964
The Mountain	49523
Sailor Beware	50818
Anything Goes	48954
Notre-Dame de Paris	50781
Reach for the Sky	49665
The Black Sleep	49013
Sora no daikaijû Radon	49782
The Opposite Sex	49578
The Girl Can't Help It	49263
A Kiss Before Dying	49414
Bob le flambeur	47892
The Solid Gold Cadillac	49777
Nightfall	49552
The Creature Walks Among Us	49103
The Catered Affair	49061
A Town Like Alice	49871
Star in the Dust	49793
Serenade	49737
The King and Four Queens	49407
Beyond a Reasonable Doubt	49006
Dry Rot	49163
The Beast of Hollow Mountain	48992
Attack	48966
23 Paces to Baker Street	48919
Never Say Goodbye	49547
Autumn Leaves	48967
The Great Locomotive Chase	49279
Rebel in Town	49666
Hollywood or Bust	49322
Gun the Man Down	49286
Fire Maidens from Outer Space	46977
The Green Man	50456
Please Murder Me!	49621
Wicked as They Come	49629
Back from Eternity	48975
Alexander the Great	48937
Cloak Without Dagger	50804
Sôshun	49784
Toward the Unknown	49870
Away All Boats	48971
D-Day the Sixth of June	49117
Liane, das Mädchen aus dem Urwald	49437
Los gavilanes	47014
The Revolt of Mamie Stover	49672
Bandido!	48983
Foreign Intrigue	49224
La traversée de Paris	49877
Bhowani Junction	49007
A Cry in the Night	49110
The Last Hunt	49432
The Lone Ranger	48310
Gunslinger	49287
Davy Crockett and the River Pirates	49125
Julie	49388
Kurutta kajitsu	160440
Invitation to the Dance	49367
Biruma no tategoto	49012
Ransom!	49656
Zarak	51219
Rock Rock Rock!	49684
Bundle of Joy	49034
The Broken Star	49031
Swamp Women	48682
Smiley	49771
Slightly Scarlet	49769
Yield to the Night	49019
Akasen chitai	48933
Meet Me in Las Vegas	49490
Don't Knock the Rock	49152
Run for the Sun	49696
That Certain Feeling	49841
The Scarlet Hour	49718
Sorok pervyy	49783
Ilya Muromets	49358
Eyewitness	49196
Gervaise	49259
Hilda Crane	49317
La fortuna di essere donna	49226
Lisbon	49446
Congo Crossing	49091
Lost	48315
Crime in the Streets	49107
Good-bye, My Lady	49271
Our Miss Brooks	48459
The Violent Years	49922
The Rack	49652
Forever, Darling	49225
Tribute to a Bad Man	49881
The She-Creature	50957
Carib Gold	264460
Time Table	49857
Pardners	49593
Sissi - Die junge Kaiserin	49762
The Benny Goodman Story	47873
C.I.D.	49041
Il ferroviere	49207
Westward Ho, the Wagons!	49945
Diane	49140
26 January	227982
The Vagabond King	49909
Dakota Incident	49118
X the Unknown	49967
Adán y Eva	48929
A Hill in Korea	49302
Death of a Scoundrel	49130
The Girl He Left Behind	49264
Daniel Boone, Trail Blazer	49121
Chori Chori	49072
Parivar	49595
Karnavalnaya noch	49397
The Eddy Duchin Story	49170
The Weapon	51184
The Burning Hills	49036
Naked Gun	49539
Izumi	134749
The Iron Petticoat	49369
Jagte Raho	49378
The Black Tent	49014
I kafetzou	135492
Beyond Mombasa	49005
Red Sundown	49667
Between Heaven and Hell	49004
La mort en ce jardin	49521
Calle Mayor	49043
Hold Back the Night	49319
Backlash	48976
You Can't Run Away from It	49973
Michel Strogoff	49501
Hot Blood	49333
Storm Center	49800
Who Done It?	49951
Hot Rod Girl	49335
Uchûjin Tôkyô ni arawaru	49900
Cette sacrée gamine	49063
Montecarlo	49520
The Unguarded Moment	49904
La sorcière	48645
Battle Stations	48989
Great Day in the Morning	49278
Sheikh Chilli	2158747
The Proud and Profane	49640
Die Trapp-Familie	49876
The Long Arm	49845
